UiResGroupType	UiType	ProxyName	ProxyEnumName	PrefabUrl	ScriptName	OpenOrder	InitState	HasNode
1	UiFightComponentDLC						1	
1	UiFightTipsDLC							
1	UiFightGuideDLC							
1	UiFightRebornDLC							
1	UiFightOnlineMsgDLC						1	
1	UiFightDlcResilience						1	
1	UiFightControlDLC						1	
1	UiFightRelinkControl					1	1	
1	UiDlcRelinkFightCharacterEnergy	XUiFightRelinkCharacterEnergy					1	
2	UiFightComponentDLC						1	
2	UiFightTipsDLC							
2	UiFightGuideDLC							
2	UiFightControlDLC						1	
2	UiFightDlcCasualGames						1	
3	UiFightComponentDLC						1	
3	UiFightTipsDLC							
3	UiFightGuideDLC							
3	UiFightControlDLC						1	
3	UiFightDlcMouseHunter						1	
4	UiBigWorldFightComponentDLC	XUiFightComponentDLC					1	
4	UiFightTipsDLC							
4	UiBigWorldFightGuideDLC	XUiFightGuideDLC						
4	UiFightDlcLevelPlayTimer						1	
4	UiFightDlcDrama						1	
4	UiFightDlcDramaLog							
4	UiFightDlcExplorationControl						1	
4	UiSkyGardenCombat							
4	UiFightControlDLC						1	
4	UiFightDlcCommonEnergy		CommonEnergy					True
4	UiFightDlcCommonReborn		CommonReborn	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkRebornTipsType01.prefab	XUiFightDlcBigWorldRebornNode		1	True
4	UiFightDlcNavigation						1	
4	UiFightDlcVideoPlayer							
4	UiBigWorldBeamCannonControl							
4	UiFightScanPlusAbility							
5	UiFightTipsDLC					3		
5	UiFightControlDLC						1	
5	UiFightDlcAutoChess						1	
6	UiFightComponentDLC						1	
6	UiFightTipsDLC							
6	UiFightControlDLC						1	
6	UiFightDlcCommonJoystick		CommonJoystick	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkJoystickNode.prefab	XUiFightDlcRelinkJoystickNode		1	True
6	UiFightDlcCommonControl		CommonControl	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkCharacterControlPanel3.prefab	XUiFightDlcRelink3SkillNode		1	True
6	UiFightDlcCommonControl		CommonControl	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkCharacterControlPanel3.prefab	XUiFightDlcRelink4SkillNode		1	True
6	UiFightDlcCommonEnergy		CommonEnergy	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiNpcFillBar/Lifu/UiDlcRelinkEnergyR4Lifu.prefab	XUiFightDlcRelinkEnergyNode		1	True
6	UiFightDlcCommonTeamInfo		RelinkTeamInfo	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkTeamInfo.prefab	XUiFightDlcRelinkTeamInformationNode		1	True
6	UiFightDlcCommonUiDlcStagePanel		CommonTip	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkStagePanel.prefab	XUiFightDlcRelinkStagePanelNode			True
6	UiFightDlcCommonTargetPanel		CommonTargetInfo	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkTargetPanel.prefab	XUiFightDlcCommonTargetPanelNode		1	True
6	UiFightDlcRelinkExtraControl		RelinkControl	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkControlPanel.prefab	XUiFightDlcExtraControlNode		1	True
6	UiFightDlcCommonMenu		CommonMenu	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkMenu.prefab	XUiFightDlcMenuNode	2	1	True
6	UiDlcGuide	XUiFightDlcCommonGuide	CommonGuide	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkGuideTipsTypeGuide.prefab	XUiNormalGuideNode		1	True
6	UiDlcGuide	XUiFightDlcCommonGuide	CommonGuide	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkGuideTipsTypeConversation.prefab	XUiGuideConversationNode		1	True
6	UiDlcGuide	XUiFightDlcCommonGuide	CommonGuide	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkGuideTipsTypeTips.prefab	XUiGuideTextNode		1	True
6	UiDlcGuide	XUiFightDlcCommonGuide	CommonGuide	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkGuideTipsTypeTutorial.prefab	XUiGuideImageVideoNode		1	True
6	UiFightDlcRelinkGameplay		RelinkGameplay	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkGameplay.prefab	XUiFightDlcRelinkGameplayNode		1	True
6	UiFightDlcCommonReborn		CommonReborn	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkRebornTipsType01.prefab	XUiFightDlcRebornRelinkNode	1	1	True
6	UiFightDlcCommonDialogue		CommonDialog	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkDialogue.prefab	XUiFightDlcRelinkDialogueNode			True
6	UiFightDlcRelinkStageInfo		RelinkTips	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkStageInfo.prefab	XUiFightDlcRelinkStageInfoNode		1	True
6	UiFightDlcRelinkStageInfo		RelinkTips	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkDataPanel.prefab	XUiFightDlcRelinkDataPanel		1	True
6	UiFightDlcCommonLockTarget		CommonLockTarget	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkLockTarget.prefab	XUiFightDlcLockTargetNode		1	True
6	UiFightDlcRelinkChatRoulette		RelinkRoulette	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkChatRoulette.prefab	XUiFightDlcRelinkChatRouletteNode	3	1	True
6	UiFightDlcRelinkPlayerInfo		RelinkPlayerInfo	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkScenePlayer.prefab	XUiFightDlcRelinkPlayerInfoNode	3	1	True
6	UiFightDlcRelinkTeammateIndicator		RelinkTeammateIndicator	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkScenePlayerTeammate.prefab	XUiFightDlcRelinkTeammateIndicatorNode		1	True
6	UiFightDlcRelinkTeammateInfo		RelinkTeammateInfo	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkTeammateInfo.prefab	XUiFightDlcRelinkTeammateInfoNode		1	True
6	UiFightDlcRelinkMechanicInfo		RelinkMechanicInfo	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkMechanicInfo.prefab	XUiFightDlcRelinkMechanicInfoNode		1	True
6	UiFightDlcRelinkMonsterHpInfo		RelinkMonsterHpInfo	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkMonsterHpInfo.prefab	XUiFightDlcRelinkMonsterHpInfoNode		1	True
6	UiFightDlcRelinkTrainingSet		RelinkTrainingSet	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkTrainingSetPanel.prefab	XUiFightDlcRelinkTrainingSetPanelNode	4	1	True
7	UiFightTipsDLC						3	
7	UiFightTheatre6						2	
7	UiFightControlDLC						1	
