Id	Type	DescriptionType	Name	IsTimeStop	Icon	Text	Duration	NeedSendCommonClick	OffsetY	IsMask	MaskTargetWidget	MaskTargetUi	ClickKey	NextGuide
101	2	1	露西亚		Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	向前走吧，指挥官。	5.0							102
102	2	1	露西亚		Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	<color=#ffda58>普通攻击</color>持续命中敌人后可获得  <color=#ffda58>【技能球】</color>。	5.0				ButtonAttack	1	1	103
103	2	1	露西亚		Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	点击<color=#ffda58>【技能球】</color>可发动专属技能。				True	PanelBallBox/FirstBall	1	1	
12001	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	身份认证通过……环境参数设定完成……战斗数据已加载……引导教程启动。						1	27	
12002	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	下午好，欢迎进入模拟训练程式，请根据引导完成训练课程。						1	27	
12003	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	请注意，由于兼容性不足，数据空间内并未载入超算功能。						1	27	
12004	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	在此空间内，<color=#ffda58>【冲刺】</color>将不受能量限制，请合理利用。						1	27	
12005	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	一阶段说明完毕，请按下方向键前进，以完成后续训练课程。						1	27	
12010	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	现在将进行二阶段教程说明，已加载<color=#ffda58>【跳跃】</color>功能，请按下<color=#ffda58>【跳跃】</color>键测试跳跃功能。		True		True	ButtonJump	1	3	
12011	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	测试完成，无异常。						1	27	
12012	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>合理使用<color=#ffda58>【跳跃】</color>功能可通过部分冲刺或行走无法通过的地形与小型障碍物，请尝试使用<color=#ffda58>【跳跃】</color>通过前方沟壑。</size>						1	27	
12020	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=30>成功使用<color=#ffda58>【跳跃】</color>功能通过沟壑，二阶段教程完成，请继续前进。</size>						1	27	
12021	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	现在进行第三阶段——<color=#ffda58>【即时触发器】</color>教学，请注意前方的红色立柱。						1	27	
