Id	CharacterId	Quality	Phase	Name	Level	Intro	SkillId
1	1071004	3	5	遥光碎夜	1	卡列尼娜·辉晓蓄力期间每消耗一组三消球获得生命上限10%的反重力护盾。	107424
2	1071004	4		遥光碎夜	2	造成伤害时，施加3秒降低目标暗属性抗性15%的连锁聚变效果。卡列尼娜·辉晓进入蓄力状态时，信号球将按照红、蓝、黄顺序重新排列。	107424
3	1071004	4	3	逐晓笼暗	1	蓄力可多消耗一组三消，三次三消时提高跃升击、辉耀旋击基础伤害。释放星碎地平线时，生成热力场，对接触的目标仅造成一次暗属性伤害，并施加10秒连锁聚变效果。	107425
4	1071004	5		逐晓笼暗	2	处于反重力状态时，自身暗属性伤害提升。当造成伤害时，使目标额外伤害减免降低5%。长按普攻进入蓄力状态时，立即激活未进入冷却的QTE。辉耀旋击旋转速度自动加快。	107425
5	1071004	5	3	此身为炬	1	队友释放必杀技时，会为在后台未上场的卡列尼娜·辉晓提供一组三消球（每位队友每次入场仅能触发一次）。蓄力可多消耗一组三消，四次三消时提高跃升击、辉耀旋击基础伤害。	107426
6	1071004	5	6	此身为炬	2	辉耀旋击额外伤害加成提升30%。	107426
7	1071004	6		此身为炬	3	星碎地平线额外伤害加成提升40%。每次切换入场时，卡列尼娜·辉晓将随机获得3个同色信号球。	107426
8	1571003	3	5	未来升时	1	闪避后提升50%移动速度，持续5秒。	157324
9	1571003	4		未来升时	2	每次入场时获得一级档位，角色攻击力提升5%。	157324
10	1571003	4	3	原初的希望	1	切换入场额外获得一组随机三消	157325
11	1571003	5		原初的希望	2	入场时洗球，每次升档获得20%雷属性伤害，该效果可叠加，最高叠加3层，每层效果持续8秒，重复获得刷新持续时间。	157325
12	1571003	5	3	终战彼端	1	3消信号球雷属性伤害提升30%。	157326
13	1571003	5	6	终战彼端	2	必杀技雷属性伤害提升30%。	157326
14	1571003	6		终战彼端	3	极限突破派生与强袭升华击伤害的雷属性伤害提升30%。	157326
15	1041004	3	5	断光	1	暴击几率提升20%。	104424
16	1041004	4		断光	2	拥有一半以上残光值激活剑形态时，使剑形态的每段普通攻击与残光剑影获得额外2层深痕剑意。深痕剑意的叠加层数扩展至99层。释放剑痕刻渊-照渊时唤起未冷却的QTE。	104424
17	1041004	4	3	刻暗	1	释放灯影剑舞及灯影剑舞附加的残光剑影获得的额外必杀能量提升。切换入场后立即获得一组随机三消球。进入剑形态时立刻获得20层深痕剑意。	104425
18	1041004	5		刻暗	2	明烛将记录照域内消球及垂灯耀目的倍率并在释放时对范围内所有单位释放该倍率的攻击，并立即获得20层深痕剑意。释放灯影剑舞时，落地前可额外进行一次前两段灯影剑舞。	104425
19	1041004	5	3	众谕	1	杖形态下，消除信号球（包括核心被动-垂灯耀目）额外伤害加成提高30%。	104426
20	1041004	5	6	众谕	2	剑形态下，普通攻击、灯影剑舞及残光剑影额外伤害加成提高30%。	104426
21	1041004	6		众谕	3	剑痕刻渊-照渊额外伤害加成提高20%。	104426
22	1231002	3	5	记忆折叠	1	切换入场额外获得一组随机三消。	123224
23	1231002	4		记忆折叠	2	冰属性伤害提升20%。释放必杀-无线牢笼时唤起未冷却的QTE。	123224
24	1231002	4	3	追踪变换	1	成功闪避攻击进入独幕跃痕状态时获得1颗信号球。每持有1层记忆契约，必杀-无线牢笼冰属性伤害提升8%。	123225
25	1231002	5		追踪变换	2	提线牵丝状态期间跃痕值每0.1秒消耗量减少50%。每持有1层记忆契约，角色额外伤害加成提升7%。	123225
26	1231002	5	3	时序守则	1	3消信号球技能基础伤害提升80%。	123226
