Id	Title	StoryText
1	相遇·红莲	遇上了穿着阿呆蛙布偶装的吉祥物，露西亚似乎认为那是真正的阿呆蛙，该不该告诉她真相呢？
2	相遇·黎明	路过了乐园举办的制作曲奇活动现场，两个小时的活动已经进入尾声，看到露西亚正在精心打包成品，似乎准备带回灰鸦基地。
3	相遇·鸦羽	黄昏时刻，恰逢摩天轮前等待的露西亚，与其一同登上乐园至高点，看着阳光将露西亚的黑发镀上一层金光。
4	相遇·α	在出租点被阿尔法拉上了摩托艇，浪花差点把自己打翻，还好被阿尔法拉了一把。
5	相遇·异火	观看映画晨星夜晚的灯光表演时遇到了沉思的里，他坚称由自己来排布电路的话会更加规范和节能。
6	相遇·乱数	在摊贩上进行射击比赛，里击落的玩偶塞了满满两袋，两个人提着玩偶，回到了集合点。
7	相遇·蚀暗	在乐园的小路上散步时，看见丽芙看着花坛出神，她似乎想要在灰鸦的基地里也搞一个类似的绿化。
8	相遇·流光	在小吃摊贩购买可丽饼时遇到了丽芙，吃到一半的时候互相交换了口味，丽芙看上去十分开心。
9	相遇·仰光	在中心广场的长椅上休息时无意惊扰了鸽子，随着白鸽漫天飞舞，在白翼的间隙之中和正在投喂白鸽的丽芙目光相交。
10	相遇·重能	在神威再次尝试用大神威数次冲浪无果后，严肃地制止了他，并且带着他租借了冲浪板。
11	相遇·暗能	看见在电玩城玩跳舞机的神威耍帅失败并摔了一个脸着地。
12	相遇·零度	遇上了在商业街购物的比安卡，替她提了东西后和她喝了一顿下午茶，并被她塞了一沓代金券。
13	相遇·真理	登上了乐园城堡最高的塔楼，在朝阳中看见头发随风飞舞的比安卡，晨光给她镀上了神圣的光晕。
14	相遇·爆裂	被迫和卡列尼娜一同打入了映画晨星的后勤部，并且加大了今晚烟花表演的火药剂量。
15	相遇·烬燃	在沙滩闲逛时被拉入了与卡列尼娜的水仗，由于卡列使用了外挂级别的火箭筒作为水枪，惨败。
16	相遇·风暴	迷路在花车游行中时，遇到了假装npc的七实，两人蒙混在队伍当中，直到结束才被工作人员发现。
17	相遇·脉冲	在电玩城侥幸超过了七实一次分数，于是被七实拉着连打了二十把《钢铁阵BX》。
18	相遇·夜刃	在海滩闲逛的时候，没有忍住埋头挖起了海货，一头撞上了同样蹲在海滩上的渡边。
19	相遇·夙星	遇上了跳蚤市场，见识了渡边卓越的杀价技巧，并且收获了两大箱带给遗忘者孩童们的礼物。
20	相遇·弧光	在逛水族馆时，听见了库洛姆用比导览还要专业的知识储备，讲解不同生态圈里的鱼类差异。
21	相遇·银牙	以整个映画晨星为范围进行捉迷藏，在游戏快要结束的时候，发现苏菲亚竟然就藏在最初的地方。
22	相遇·瑰丽	在招待厅忍耐了薇拉一个小时的“酒疯”，最后发现薇拉喝的是无酒精电解液。
23	相遇·狂犬	看见了在大胃王免单活动中，吃光店家所有备菜，被老板含泪送出餐厅的卡穆。
24	相遇·凛冽	在乐园的全息影院里观看《莎士碧儿历险记》这部老动画时，邻座正好是罗塞塔。看完后，她似乎被不屈的碧儿打动了。
25	相遇·雀翎	坐完过山车后帮前座的曲梳理了将近一个小时的长发，托她的福，后座基本没看到什么风景。
26	相遇·游麟	在电玩城迎面撞上了双手提满了礼物袋的常羽，被他拉着一同搬空了电玩城的兑换区。
27	相遇·银冕	在水族馆里遇到露娜，和她一同观赏海月水母，幼小的生命随波逐流的样子让露娜陷入了沉思。
28	相遇·溢彩	眼睁睁看见海鸥打翻了在沙滩上取材的艾拉的颜料桶，最后演变成了……
29	相遇·岚音	看见了在中心广场即兴演奏的赛琳娜，不知为何，旁边的琴盒里已经盛满了晨星印花券。
30	相遇·明觉	遇上了正在沙滩椅上睡觉的万事，仔细看了看，他盖在脸上用于遮阳的书，似乎是库洛姆的《威尼斯商人》。
31	邀请·红莲	遇上了穿着阿呆蛙布偶装的吉祥物，露西亚似乎认为那是真正的阿呆蛙，该不该告诉她真相呢？
32	邀请·黎明	路过了乐园举办的制作曲奇活动现场，两个小时的活动已经进入尾声，看到露西亚正在精心打包成品，似乎准备带回灰鸦基地。
33	邀请·鸦羽	黄昏时刻，恰逢摩天轮前等待的露西亚，与其一同登上乐园至高点，看着阳光将露西亚的黑发镀上一层金光。
