Id	BoundsSizeX	BoundsSizeY	BoundsSizeZ	BoundsCenterOffsetX	BoundsCenterOffsetY	BoundsCenterOffsetZ
Mb1AolajiangMd010011RMLV	1.1455	2.2586	1.1467		1.13	-0.1054
Mb1JueanhtMd010001	18.5821	13.4802	17.1883	0.3835	3.0668	-0.389
Q2BazhiMd010011RM	0.5656	1.044	0.5691		0.5224	-0.0019
Q2BulijiteMd010011RM	0.5667	1.0488	0.6365	0.0679	0.2702	0.0314
Q2BuouxiongMd010011RM	0.8178	1.0366	0.5962	0.0526	0.2641	0.0114
Q3AilaMd010011RM	0.5339	1.1259	0.575		0.5629	-0.0571
Q3CibeizheMd010011RM	0.7461	1.1866	0.6652		0.5932	-0.1008
Q3HanyingMd010011RM	0.6227	1.0016	0.5487	0.0197	0.5008	-0.0498
Q3KuluomuMd010011RM	0.5213	1.034	0.4561		0.517	-0.0491
Q3LamiyaMd010011RM	0.7028	1.1882	0.5239		0.595	-0.0613
Q3LilithMd010011RM	0.7831	1.2393	0.7221		0.6196	-0.1218
Q3LunaMd010011RM	1.3905	1.0236	0.7451		0.5118	-0.1789
Q3LuosaitaMd010011RM	0.7506	1.056	0.5507		0.5286	-0.0826
Q3QuMd010011RM	0.9182	0.9982	0.7296		0.4931	-0.141
Q3TwentyoneMd010011RM	0.8269	1.0754	0.6887		0.5368	-0.1437
Q3WanshiMd010011RM	0.5824	1.0451	0.5986	0.0136	0.523	-0.0553
Q3WeilaMd010011RM	0.5469	0.9956	0.6513		0.4979	-0.1205
Q3YalishaMd010011RM	0.5278	0.9948	0.5345		0.4972	-0.0568
Q4BiankaMd010011RM	0.8085	0.9821	0.5461		0.491	-0.0667
Q4DubianMd010011RM	0.5721	1.0023	0.5088		0.5003	-0.0393
Q4KalieninaMd010011RM	0.7988	1.2655	0.901		0.6291	-0.2418
Q4LiangMd010011RM	0.5509	1.0191	0.5036	-0.0038	0.51	-0.0246
Q4LifuMd010011RM	0.7681	1.0943	0.5905		0.5471	-0.0902
Q4LunaMd010011RM	1.1429	1.1307	0.8434	0.0526	0.3112	-0.0957
Q4LuxiyaMd010011RM	0.7119	1.0483	0.5809		0.5244	-0.0902
Q4SailinnaMd010011RM	0.7736	1.0023	0.6232	0.0225	0.4939	-0.0955
Q4YongyechaoMd010011RM	0.7789	1.0404	0.5902	-0.1053	0.5199	-0.0896
Q5LuxiyaMd010011RM	0.7788	1.1466	0.7135		0.5742	-0.1481
