Id	Description
30062750	['消灭所有敌人，完成关卡挑战']
30062751	['消灭所有敌人，完成关卡挑战']
30062752	['消灭所有敌人，完成关卡挑战']
30062753	['消灭所有敌人，完成关卡挑战']
30062754	['消灭所有敌人，完成关卡挑战']
30062755	['无尽的战斗，消灭尽可能多的敌人获得高分']
30062756	['消灭所有敌人，完成关卡挑战']
30062757	['消灭所有敌人，完成关卡挑战']
30062758	['消灭所有敌人，完成关卡挑战']
30062759	['消灭所有敌人，完成关卡挑战']
30062760	['消灭所有敌人，完成关卡挑战']
30062761	['无尽的战斗，消灭尽可能多的敌人获得高分']
30062762	['消灭所有敌人，完成关卡挑战']
30062763	['消灭所有敌人，完成关卡挑战']
30062764	['消灭所有敌人，完成关卡挑战']
30062765	['消灭所有敌人，完成关卡挑战']
30062766	['消灭所有敌人，完成关卡挑战']
30062767	['消灭所有敌人，完成关卡挑战']
30062768	['限时挑战，在限定时间内消灭指定数量怪物完成关卡']
30062769	['消灭所有敌人，完成关卡挑战']
30062770	['消灭所有敌人，完成关卡挑战']
30062771	['消灭所有敌人，完成关卡挑战']
