TaskId	ContentId	UnlockType	UnlockParams	ConditionId	Title	UnlockText	SkipId	TimeId
990000	101	1			Space Leap - 1		200102	
990001	101	2	[990000]		Space Leap - 2		200102	
990002	101	2	[990001]		Space Leap - 3		200102	
990003	101	2	[990002]		Space Leap - 4		200102	
990004	101	2	[990003]		Space Leap - 5		200102	
990005	101	2	[990004]		Space Leap - 6		200102	
990006	101	1			Space Leap - All Stage Challenge		200102	
990007	101	1			Supply Crate Collection - 1		200102	
990008	101	2	[990007]		Supply Crate Collection - 2		200102	
990009	101	2	[990008]		Supply Crate Collection - 3		200102	
990010	101	2	[990009]		Supply Crate Collection - Complete Collection Challenge		200102	
990011	101	1			Kuroro Coffee - Prologue	Unlocks Kuroro Coffee mode	990011	
990012	101	2	[990011]		Kuroro Coffee - Business Record - 1		990012	
990013	101	2	[990012]		Kuroro Coffee - Business Record - 2		990013	
990014	101	2	[990013]		Kuroro Coffee - Business Record - 3		990014	
990015	101	2	[990014]		Kuroro Coffee - Business Record - 4		990015	
990016	101	2	[990015]		Kuroro Coffee - Business Record - 5		990016	
990017	101	2	[990016]		Kuroro Coffee - Business Record - 6		990017	
990018	101	2	[990017]		Kuroro Coffee - Signature Mix - 1		990018	
990019	101	2	[990018]		Kuroro Coffee - Signature Mix - 2		990019	
990020	101	2	[990019]		Kuroro Coffee - Signature Mix - 3		990020	
990021	101	2	[990020]		Kuroro Coffee - Signature Mix - 4		990021	
990022	101	2	[990021]		Kuroro Coffee - Signature Mix - 5		990022	
990023	101	2	[990022]		Kuroro Coffee - Signature Mix - 6		990023	
990024	101	2	[990023]		Kuroro Coffee - Signature Mix - 7		990024	
990025	101	2	[990024]		Kuroro Coffee - Signature Mix - 8		990025	
990026	101	2	[990025]		Kuroro Coffee - Signature Mix - 9		990026	
990027	101	2	[990026]		Kuroro Coffee - Signature Mix - 10		990027	
990028	101	2	[990011]		Kuroro Coffee - All Stage Challenge		990028	
990029	101	3	[50001024]		Business Tycoon - Prologue	Unlocks Business Development Plan	990029	
990030	101	2	[990029]		Business Development Plan - 1		990030	
990031	101	2	[990030]		Business Development Plan - 2		990031	
990032	101	2	[990031]		Business Development Plan - 3		990032	
990033	101	2	[990032]		Business Development Plan - 4		990033	
990034	101	2	[990033]		Business Development Plan - 5		990034	
990035	101	2	[990034]		Business Development Plan - 6		990035	
990036	101	2	[990029]		Business Development Plan - All Stage Challenge		990036	
990037	101	1			Break Time	Unlocks Commandant's lounge	990037	
990046	101	3	[50001500]		Whispers of Love Mission - Beyond Time's Shore		990040	
990047	101	3	[50001027]		Rumor Mission - A Tap on the Heart		990038	
990048	101	3	[50001028]		Rumor Mission - Mechanoid Carnival		990039	
990049	101	1			Commercial District - All Mission Challenge		990041	
990050	201	3	[50002001]		Space Departure	Unlocks [Space Voyage]	990050	
990051	201	2	[990050]		Space Voyage 1-1		990051	
990052	201	2	[990051]		Space Voyage 1-2		990052	
990053	201	2	[990052]		Space Voyage 1-3		990053	
990054	201	2	[990053]		Space Voyage 1-4		990054	
990055	201	2	[990054]		Space Voyage 2-1		990055	
990056	201	2	[990055]		Space Voyage 2-2		990056	
990057	201	2	[990056]		Space Voyage 2-3		990057	
990058	201	2	[990057]		Space Voyage 2-4		990058	
990059	201	2	[990058]		Space Voyage 3-1		990059	
990060	201	2	[990059]		Space Voyage 3-2		990060	
990061	201	2	[990060]		Space Voyage 3-3		990061	
990062	201	2	[990061]		Space Voyage 4-1		990062	
990063	201	2	[990062]		Space Voyage 4-2		990063	
990064	201	2	[990063]		Space Voyage 4-3		990064	
990065	201	2	[990050]		Echo of Clarity		990065	
990066	201	1			Beautiful Memories - 1		990066	
990067	201	2	[990066]		Beautiful Memories - 2		990067	
990068	201	2	[990067]		Beautiful Memories - 3		990068	
990069	201	2	[990068]		Beautiful Memories - 4		990069	
990070	201	1			Toward Undiscovered Beauty		990070	
990071	201	3	[50002001]		Hundred-Faced Kuroro - 1		990071	
990072	201	2	[990071]		Hundred-Faced Kuroro - 2		990072	
990073	201	2	[990072]		Hundred-Faced Kuroro - 3		990073	
990074	201	1			Supply Crate Collection - 1		990074	
990075	201	2	[990074]		Supply Crate Collection - 2		990075	
990076	201	2	[990075]		Supply Crate Collection - 3		990076	
990077	201	1			Destined Moments - Lucia		200111	
990078	201	1			Destined Moments - Teddy		200112	
990079	201	1			Destined Moments - Vera		200113	
990080	201	1			Destined Moments - Bianca		200114	
990081	201	1			Destined Moments - Rosetta		200115	
990082	201	1			Destined Moments - Wanshi		200116	
990083	201	1			Destined Moments - Lee		200117	
990084	201	1			Destined Moments - Asimov		200118	
