Id	HelpCourseId	Index	Name	Image	Desc
200101	2001	1	映空竞跃教学	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachJumpPlayer01.png	欢迎体验映空竞跃，在规定的时间内到达终点即可获得胜利。
200102	2001	2	映空竞跃教学	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachJumpPlayer02.png	按下冲刺按钮可将移动方式切换为冲刺，冲刺状态下，角色能够跳跃更远的距离。
202001	2020	1	库洛洛咖啡-入口介绍	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachCafe01.png	开始营业：可以进行代理营业，达成目标即可完成关卡。\n特别调制：自定义顾客名单并应对点评员的考核，达成目标即可完成关卡。\n历史账本：回顾已经完成的营业记录。
202002	2020	2	库洛洛咖啡-玩法规则	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachCafe02.png	调整顾客的搭配和顺序并安排顾客入座，可以获得好评和销量。\n消耗好评可以用于服务顾客，获取更多销量。
202003	2020	3	库洛洛咖啡-玩法规则	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachCafe03.png	名单中的顾客会在特别调制关卡中随机、循环出现。\n点评员会在关卡中出现并产生效果，可以根据点评员的效果调整顾客名单。
101001	1010	1	休息室布置	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiSkyGardenDormTeachPicture/UiBigWorldTeachDorm01.png	和<color=#0f70bc>照片墙</color>或<color=#0f70bc>展列架</color>交互后可以进入布置模式，装扮您的休息室。
101002	1010	2	休息室布置	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiSkyGardenDormTeachPicture/UiBigWorldTeachDorm02.png	布置界面中：\n·下方可以查看并摆放已拥有的装饰 \n·右侧是通用操作栏，包括：隐藏UI、收起、重置、保存 操作 \n·右上方可以查看各类装饰的摆放数量限制，以及查看、保存预设
101003	1010	3	休息室布置	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiSkyGardenDormTeachPicture/UiBigWorldTeachDorm03.png	可以在<color=#0f70bc>休息室图鉴</color>中查看更多装饰信息。\n以下途径可以获得对应的照片以及装饰摆件：\n· 使用<color=#0f70bc>拍照</color>拍下照片并上传到<color=#0f70bc>留影相册</color>中 \n· <color=#0f70bc>行动指南</color>达到指定进度 \n· 参与空中花园内各类玩法
200103	2001	3	映空竞跃教学	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachJumpPlayer03.png	完成关卡的时间越短得分越高，收集常态螺母可额外得分。累计分数达到指定阶段即可获得对应奖励。
200104	2001	4	映空竞跃教学	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachJumpPlayer04.png	如果对当前成绩不满意，可以重新挑战，冲击更高分数以解锁尚未获得的奖励。
200201	2002	1	映空竞跃教学	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTeachPicture/UiBigWorldTeachJumpPlayer07.png	经过加速区域可提升移动速度。
