Id	TitleName	SubTitleName	UiName	ExhibitionFubenType	ExhibitionFubenConfigId	PreIds	ShowConditionId	BgPath	BgPosX	BgPosY
1	序章		GridChapterMainLine	1	1000					
2	涂鸦艺术		GridChapterMainLine	1	1001	[1]				
3	黑星坠落		GridChapterMainLine	1	1009		770400			
4	极地暗流	外篇旧闻	GridChapterBranchLine	2	2000	[3]	84100913			
5	永久列车		GridChapterMainLine	1	1010	[3]	770400			
6	九龙夜航		GridChapterMainLine	1	1011	[5]	770400			
7	九龙环城		GridChapterMainLine	1	1012	[6]	770400			
8	湛蓝曙日	外篇旧闻	GridChapterBranchLine	2	2001	[7]	770400		-2420	-45000
9	重返极夜	外篇旧闻	GridChapterBranchLine	2	2002	[8]	770400			
10	古铭遗章	外篇旧闻	GridChapterBranchLine	2	2003	[9]	770400			
11	终焉福音		GridChapterMainLine	1	1013	[9]	770400		-35000	
12	咏叹回声	外篇旧闻	GridChapterBranchLine	2	2004	[11]	770400			
13	视线囚笼		GridChapterMainLine	1	1014					
14	迷境刻痕	外篇旧闻	GridChapterBranchLine	2	2005	[13]			-2420	-124000
15	绝海星火		GridChapterMainLine	1	1015	[14]				
16	永夜胎动		GridChapterMainLine	1	1016	[15]				
17	湮灭残昼		GridChapterMainLine	1	1017	[16]				
18	游云鲸梦	浮点纪实	GridChapterBranchLine	1	2000	[17]			-2420	-128000
19	宣叙妄响	多维演绎	GridChapterFubenChallenge	3	11	[17]		Assets/Product/Texture/Image/UiMainLineExhibition/UiMainLineExhibitionUiTheatre1.png		
20	曙星致意		GridChapterMainLine	1	1018					
21	遥岸方舟	浮点纪实	GridChapterBranchLine	1	2001	[20]			-2420	-70000
22	空晓界限		GridChapterMainLine	1	1019	[21]			23000	
23	枯朽为灯	浮点纪实	GridChapterBranchLine	1	2002	[22]			-2420	-128000
24	烬海异途		GridChapterMainLine	1	1020	[23]				
25	厄愿潮声	多维演绎	GridChapterFubenChallenge	3	15	[24]		Assets/Product/Texture/Image/UiMainLineExhibition/UiMainLineExhibitionUiTheatre2.png		
26	未语庭言	浮点纪实	GridChapterBranchLine	1	2003	[24]				
27	刻命螺旋		GridChapterMainLine	1	1021	[26]				
28	创绘映想		GridChapterMainLine	1	1022					
29	凛桎鸣渊		GridChapterMainLine	1	1023	[28]				
30	浮英枕梦行	浮点纪实	GridChapterBranchLine	1	2004	[29]			-2420	-128000
31	萦森歧路		GridChapterMainLine	1	1024	[29]				
32	怒逐沉沙	浮点纪实	GridChapterBranchLine	1	2005	[31]				
33	爝火长明		GridChapterMainLine	1	1025	[32]				
34	摇篮游行		GridChapterMainLine	1	1026	[33]				
35	矩阵循生	多维演绎	GridChapterFubenChallenge	3	18	[34]		Assets/Product/Texture/Image/UiMainLineExhibition/UiMainLineExhibitionUiTheatre3.png		
36	碑火铸脊		GridChapterMainLine	1	1027	[34]				
37	络勾陈		GridChapterMainLine	1	1028	[35]				
38	源解信标		GridChapterMainLine	1	1029					
39	镜像星尘		GridChapterMainLine	1	1030	[38]				
40	幽塔黎光	浮点纪实	GridChapterBranchLine	1	2006	[39]			-2420	-128000
41	云梁觅影	浮点纪实	GridChapterBranchLine	1	2007	[39]			-2420	-112000
42	暮往长离	浮点纪实	GridChapterBranchLine	1	2008	[41]				
43	剪身成蝶		GridChapterMainLine	1	1031	[42]				
44	寒境曙光	多维演绎	GridChapterFubenChallenge	3	20	[43]		Assets/Product/Texture/Image/UiMainLineExhibition/UiMainLineExhibitionUiTheatre4.png		
45	晨昏庭影	浮点纪实	GridChapterBranchLine	1	2009	[43]			-2420	-128000
46	遥行循星		GridChapterMainLine	1	1032	[43]				
47	锈夜逐光		GridChapterMainLine	1	1033	[46]				
48	醉狱谲笼	浮点纪实	GridChapterBranchLine	1	2010	[47]			-2420	-123000
49	梦赴光寥之乡		GridChapterMainLine	1	1034					
50	逐生复始	浮点纪实	GridChapterBranchLine	1	2011	[49]			-2420	-118000
51	末路燎原	浮点纪实	GridChapterBranchLine	1	2012	[49]			-2420	-103000
52	覆海离声		GridChapterMainLine	1	1035	[49]				
53	溯梦归途		GridChapterMainLine	1	1036	[52]				
54	织奏序言	浮点纪实	GridChapterBranchLine	1	2013	[53]				
55	理想笼	浮点纪实	GridChapterBranchLine	1	2014	[53]			-2420	-128000
56	眠于厄寐之境		GridChapterMainLine	1	1037	[53]				
57	推想视限		GridChapterMainLine	1	1038	[56]				
58	冬冕的凋亡		GridChapterMainLine	1	1039	[57]				
59	更美好的明天		GridChapterMainLine	1	1040	[58]				
