ChapterId	Difficult	DifficultName	DifficultEnName	DifficultColor	Desc	ActivityTimeId	ActivityCondition	OpenCondition	StageGroupIds	PrefabName	BgStageIndexs	TitleTextColors	LeftTimeTextColors	ProgressTextColors	TreasureId	AchievementId	SkipIds	SkipConditions	SkipIcons	SkipNames	SkipChapterNames	EggIds	SpineStageIndexs	SpineProgressWans
1030	1	普通	难度					770400	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor30.prefab	[1, 11]	['#ffffff', '#ffffff']	['#0f70BC', '#0f70BC']	['#ffffff', '#ffffff']	103001		[514, 517]	[1007061, 1007061]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump07.png', 'Assets/Product/Texture/Image/StoryJump/StoryMainLineJump31.png']	['浮点纪实·第6章', '下一章节']	['幽塔黎光', '剪身成蝶']			
2006	1	普通	难度				30406	770400	[12]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor06DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']	200601		[515]	[1007083]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump08.png']	['浮点纪实·第7章']	['云梁觅影']			
2007	1	普通	难度				30406	770400	[13, 14]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor07DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']	200701		[516]	[1007100]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump09.png']	['浮点纪实·第8章']	['暮往长离']			
2008	1	普通	难度				30406	770400	[15]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor08DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']	200801		[518, 517]	[1007088, 1007088]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump10.png', 'Assets/Product/Texture/Image/StoryJump/StoryMainLineJump31.png']	['浮点纪实·第9章', '主线·第三十一章']	['晨昏庭影', '剪身成蝶']			
1031	1	指挥官	1st	#49E6FF	迷失于时庭雾域		30406	770400	[16]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31B.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[519]	[1007092]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png']	['下一章节']	['遥行循星']			
1131	2	柯蕾多尔	2nd	#49E6FF	辉煌时代下的杂音，富饶青山上的朽木		1007093	1007093	[17, 18, 19]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31C.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[519]	[1007092]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png']	['下一章节']	['遥行循星']			
1231	3	露西亚	3rd	#49E6FF	熔铸万千无价值的失败		1007094	1007094	[20, 21, 22]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31D.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[519]	[1007092]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png']	['下一章节']	['遥行循星']			
1331	4	冯·内古特	4th	#49E6FF	裁剪无数牺牲者的噩梦		1007095	1007095	[23]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31E.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[519]	[1007092]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png']	['下一章节']	['遥行循星']			
2009	1	普通	难度				30406	770400	[24]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor09DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[521]	[1007104]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump11.png']	['浮点纪实·第10章']	['醉狱谲笼']			
1032	1	普通	难度				30406	770400	[25, 26, 27]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor32.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[520]	[1007108]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump33.png']	['下一章节']	['锈夜逐光']			
