Id	StageDetailType	TransformCondition	TransformStageId	Ignore	UnlockCondition	ProgressConditions	ProgressGreyBg	ProgressBg	AchievementTpyes	AchievementNames	AchievementDescs	AchievementBriefDescs	AchievementUndoneDescs	VideoId	Specialorder	MonsterHeads	MonsterReplaceOrders	EffectPath
10300102	1																	
10300101	4								[1, 2]	{1: 'I AM THE ALPHA', 2: 'I AM THE SAVAGE ALPHA'}	{1: '终结之始', 2: '无比强大的力量'}	{1: '<color=#989898>※在推演中击败α</color>', 2: '<color=#989898>※在隐藏选项中击败α</color>'}						
10300106	4								[1]	{1: '接二连三'}	{1: '这是什么，摸一下'}	{1: '<color=#989898>※与虚影交互六次</color>'}						
10300206	4			True	1007063				[1]	{1: '突出重围'}	{1: '还不到停下的时候'}	{1: '<color=#989898>※逃出升格网络</color>'}			A			
10300103	1																	
10300104	1																	
10300105	1																	
10300109	4								[1]	{1: '无伤大雅'}	{1: '非致命玩笑'}	"{1: ""<color=#989898>※听完罗兰的'故事'</color>""}"						
10300209	4			True	1007073										A			
10300110	4								[1]	{1: '身体力行'}	{1: '动力甲，启动！'}	{1: '<color=#989898>※装备动力甲进行战斗</color>'}						
10300210	4			True	1007074										A			
10300113	4								[1]	{1: '向你致意'}	{1: '做好觉悟了吗？'}	{1: '<color=#989898>※直面柯蕾多尔</color>'}						
10300111	4								[2]	{1: '尘间重映'}	{1: '喜欢的电影就再看一遍'}	{1: '<color=#989898>※清扫三处‘老’灰尘</color>'}						
10300211	4			True	1007077				[1]	{1: '灵魂深处'}	{1: '安眠在怀中的秘密'}	{1: '<color=#989898>※找到露娜</color>'}			A			
10300311	4			True	1007080				[1]	{1: '意识海战神'}	{1: '无需匹马，单枪突破'}	{1: '<color=#989898>※通过混乱的意识海</color>'}			B			
10300107	1																	
10300118	4								[1]	{1: '浴染猩红'}	{1: '在此……重获新生'}	{1: '<color=#989898>※进入红潮</color>'}						
10300108	1																	
10300122	4																	
10300222	4			True	1007081				[1]	{1: '门的那边'}	{1: '“握住我的手，在灵魂尽头。”'}	{1: '<color=#989898>※打开水晶门</color>'}			A			
10300123	4								[2]	{1: '拼凑月光'}	{1: '将记忆缝补'}	{1: '<color=#989898>※收集全部塞勒涅的记忆碎片</color>'}						
10300223	4			True	1007082										A			
10300125	5								[2]	{1: 'I AM THE OMEGA'}	{1: '长眠吧，这里便是终点。'}	{1: '<color=#989898>※击败最终BOSS</color>'}						
10300112	1																	
15020701	1																	
15020702	4								[1]	{1: '电掣驰援'}	{1: '通过支援部队入队考核。'}							
15020703	1																	
15020704	1																	
15020705	1																	
15020707	1																	
15020706	4								[2]	{1: '初露端倪'}	{1: '完成对矿道区域的初步调查。'}							
15020708	1																	
15020710	1																	
15020709	4								[1, 2]	{1: '下矿安全第一条', 2: '寻根追底'}	{1: '救出被困的研究员安杰。', 2: '发现设立矿井的真正目的。'}							
15020711	1																	
15020712	1																	
15020713	1																	
15020714	1																	
15020716	1																	
15020715	4								[1]	{1: '她的嘱托'}	{1: '活下去。'}							
15020717	1																	
15020718	1																	
15020719	1																	
15020720	5								[1, 2]	{1: '高举火把', 2: '意志的交锋'}	{1: '击败斯凯奇，并选择揭露康士坦丁镇的真相。', 2: '完美化解斯凯奇每次的石刺攻击。'}							
