Id	Type	Name	Priority	IncompleteText	Icon	Quest
1	1	Beyond Time's Shore	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconDate.png	[1001]
2	2	Commercial Square Development Plan	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2001, 2004, 2005]
4	2	Caffeine Conundrum	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2003]
5	6	Leisure Time Invitation	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconPilotage.png	[2002]
6	3	A Tap on the Heart	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[3004]
7	3	Mechanoid Carnival	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[3005]
8	4	Frostheart Shadow	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconARU.png	[1002]
9	6	Toward Undiscovered Beauty	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconPilotage.png	[7001]
10	5	Invitation	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconInvitation.png	[2007, 2009]
11	2	Bewilderment of a Nascent Will	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2011, 2013, 2014]
12	2	Wishes Adrift in the Starry Sea	1		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldTaskObtain/DramaIcon/UiBigWorldTaskObtainDramaIconGamePlay.png	[2012]
