Key	CellX	CellY	Type	CollisionEffect	CollisionEffectName
VisibleObstacle					
	47	133			
	47	132			
	47	131			
	47	130			
	47	129			
	47	128			
	47	127			
	47	126			
	47	125			
	47	124			
	47	123			
	47	122			
	47	121			
	47	120			
	47	119			
	47	118			
	47	117			
	47	116			
	47	115			
	47	114			
	47	113			
	47	112			
	47	111			
	47	110			
	47	109			
	47	108			
	47	107			
	47	106			
	47	105			
	47	104			
	47	103			
	47	102			
	47	101			
	47	100			
	47	99			
	47	98			
	47	97			
	47	96			
	47	95			
	47	94			
	47	93			
	47	92			
	47	91			
	47	90			
	47	89			
	47	88			
	47	87			
	47	86			
	47	85			
	47	84			
	47	83			
	47	82			
	47	81			
	47	80			
	47	79			
	47	78			
	47	77			
	47	76			
	47	75			
	47	74			
	47	73			
	47	72			
	47	71			
	47	70			
	47	69			
	47	68			
	47	67			
	47	66			
	47	65			
	47	64			
	47	63			
	47	62			
	47	61			
	47	60			
	48	133			
	48	132			
	48	131			
	48	130			
	48	129			
	48	128			
	48	127			
	48	126			
	48	125			
	48	124			
	48	123			
	48	122			
	48	121			
	48	120			
	48	119			
	48	118			
	48	117			
	48	116			
	48	115			
	48	114			
	48	113			
	48	112			
	48	111			
	48	110			
	48	109			
	48	108			
	48	107			
	48	106			
	48	105			
	48	104			
	48	103			
	48	102			
	48	101			
	48	100			
	48	99			
	48	98			
	48	97			
	48	96			
	48	95			
	48	94			
	48	93			
	48	92			
	48	91			
	48	90			
	48	89			
	48	88			
	48	87			
	48	86			
	48	85			
	48	84			
	48	83			
	48	82			
	48	81			
	48	80			
	48	79			
	48	78			
	48	77			
	48	76			
	48	75			
	48	74			
	48	73			
	48	72			
	48	71			
	48	70			
	48	69			
	48	68			
	48	67			
	48	66			
	48	65			
	48	64			
	48	63			
	48	62			
	48	61			
	48	60			
	49	133			
	49	132			
	49	131			
	49	130			
	49	129			
	49	128			
	49	127			
	49	126			
	49	125			
	49	124			
	49	123			
	49	122			
	49	121			
	49	120			
	49	119			
	49	118			
	49	117			
	49	116			
	49	115			
	49	114			
	49	113			
	49	112			
	49	111			
	49	110			
	49	109			
	49	108			
	49	107			
	49	106			
	49	105			
	49	104			
	49	103			
	49	102			
	49	101			
	49	100			
	49	99			
	49	98			
	49	97			
	49	96			
	49	95			
	49	94			
	49	93			
	49	92			
	49	91			
	49	90			
	49	89			
	49	88			
	49	87			
	49	86			
	49	85			
	49	84			
	49	83			
	49	82			
	49	81			
	49	80			
	49	79			
	49	78			
	49	77			
	49	76			
	49	75			
	49	74			
	49	73			
	49	72			
	49	71			
	49	70			
	49	69			
	49	68			
	49	67			
	49	66			
	49	65			
	49	64			
	49	63			
	49	62			
	49	61			
	49	60			
	50	133			
	50	132			
	50	131			
	50	130			
	50	129			
	50	128			
	50	127			
	50	126			
	50	125			
	50	124			
	50	123			
	50	122			
	50	121			
	50	120			
	50	119			
	50	118			
	50	117			
	50	116			
	50	115			
	50	114			
	50	113			
	50	112			
	50	111			
	50	110			
	50	109			
	50	108			
	50	107			
	50	106			
	50	105			
	50	104			
	50	103			
	50	102			
	50	101			
	50	100			
	50	99			
	50	98			
	50	97			
	50	96			
	50	95			
	50	94			
	50	93			
	50	92			
	50	91			
	50	90			
	50	89			
	50	88			
	50	87			
	50	86			
	50	85			
	50	84			
	50	83			
	50	82			
	50	81			
	50	80			
	50	79			
	50	78			
	50	77			
	50	76			
	50	75			
	50	74			
	50	73			
	50	72			
	50	71			
	50	70			
	50	69			
	50	68			
	50	67			
	50	66			
	50	65			
	50	64			
	50	63			
	50	62			
	50	61			
	50	60			
	51	133			
	51	132			
	51	131			
	51	130			
	51	129			
	51	128			
	51	127			
	51	126			
	51	125			
	51	124			
	51	123			
	51	122			
	51	121			
	51	120			
	51	119			
	51	118			
	51	117			
	51	116			
	51	115			
	51	114			
	51	113			
	51	112			
	51	111			
	51	110			
	51	109			
	51	108			
	51	107			
	51	106			
	51	105			
	51	104			
	51	103			
	51	102			
	51	101			
	51	100			
	51	99			
	51	98			
	51	97			
	51	96			
	51	95			
	51	94			
	51	93			
	51	92			
	51	91			
	51	90			
	51	89			
	51	88			
	51	87			
	51	86			
	51	85			
	51	84			
	51	83			
	51	82			
	51	81			
	51	80			
	51	79			
	51	78			
	51	77			
	51	76			
	51	75			
