Id	DescriptionType	Name	IsTimeStop	Icon	Text	Duration	NeedSendCommonClick	OffsetY	IsMask	MaskTargetWidget	MaskTargetUi	ClickKey	NextGuide	PrefabPath
90005101	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	第一次熵流运算模拟准备，模拟目标危险程度极高，请谨慎应对。	8.0								
90005102	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	向前移动靠近模拟战斗目标。	99.0								
90005103	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	战斗目标接近中，做好迎战准备！	3.0								
90005104	1	赛利卡	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	危险！进行紧急回避！	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/ButtonDodge	1	2		
90005105	1	赛利卡	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	【技能】模块已解锁，现在可发动技能了！	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/BtnSkill2	1	15		
90005106	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	锁定目标时，可以看到目标当前【平衡值】，持续攻击可以削减【平衡值】！	7.0								
90005107	1	赛利卡	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	干得好！敌人进入【失衡】状态了，是使用【追击技】的好机会！	12.0			True	UiFightDlcRelinkExtraControl/SafeAreaContentPane/UiDlcRelinkControlPanel(Clone)/PanelQTE1	1	90		
90005109	1	赛利卡	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	敌人要发动强力招式了，尝试用【瞬击格挡】化解攻势。	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/BtnSkill1	1	14		
90005111	1	七实		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR6Yongyechao3.png	七实，堂!堂!登!场！	2.0								
90005112	1	丽芙		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu2.png	就由我来守护大家。	3.0								
90005113	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	敌对目标的能量正在聚集中……请小心，它准备改变进攻模式了！	3.0								
90005114	1	丽芙		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu2.png	来，站到我身后。	8.0								
90005115	1	赛利卡	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	目标面板最下方是敌人狂怒值，敌人受到攻击时会增加狂怒值。	12.0			True	UiFightDlcCommonTargetPanel/SafeAreaContentPane/UiDlcRelinkTargetPanel(Clone)/PanelZs/UiRelinkPanelEnemyInfo	1			
90005116	1	赛利卡	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	尝试一下强制锁定作战目标。	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/ButtonFocus	1	8		
90005120	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	闪避成功会获得一定时间的免伤效果，利用这段时间进行反击吧！	7.0								
90005121	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	技能使用后会进入一段冷却时间，请谨慎选择发动时机。	6.0								
90005122	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	漂亮的应对！时机把握得刚好！	4.0								
90005123	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	小心！目标能量上升，即将突破模拟演算的极限！	8.0								
90005124	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	太好了，是丽芙和七实小姐的支援！	5.0								
90005125	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	敌人进入瘫痪状态了，好机会！一举攻下吧！	5.0								
90005126	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	小队全员充能完毕，下达总攻命令吧，指挥官！	6.0								
90005127	1	赛利卡		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	敌对目标反应……确认完全消失！本次熵流运算模拟数据已全部采集，辛苦各位了！	10.0								
