Id	ActId	Name	SubName	RowSize	ColSize	PieceItemCount	BgUrl	CompleteStoryId	CompleteRewardId	CompleteHintText	RewardPiecesStr	RewardId	CompleteImageUrl	PuzzleType
1	1	青衣少保	九龙艺术	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	1100141	11925	【梨园·墟】中“青衣少保”关卡已解锁	['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[11926, 11927, 11928, 11929]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull01.png	1
2	1	镇垣墙	万军从中	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	1100141	11925	【梨园·墟】中“镇垣墙”关卡已解锁	['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[11929, 11928, 11927, 11926]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull02.png	1
3	2	破晓银月	暗潮涌动	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	YR01602BA	11925	拼图剧情“暗潮涌动（二）”已解锁	['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[11926, 11927, 11928, 11929]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull04.png	1
4	2	虚像空间	威胁迫近	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg01.png	YR01603BA	11925	拼图剧情“暗潮涌动（三）”已解锁	['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[11929, 11928, 11927, 11926]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull03.png	1
5	3	白色幼兽	ⅩⅩⅠ	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png	YR01801BA	420059	拼图剧情“白色幼兽”已解锁			Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull07.png	2
6	3	黑骑士	Black Knight	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png	YR01802BA	420060	拼图剧情“黑骑士”已解锁			Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull08.png	2
7	4	艺术殿堂	Art Palace	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png		12687		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[12689, 12690, 12691, 12692]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull09.png	1
8	4	回忆约定	Promise Memory	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg08.png		12688		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[12693, 12694, 12695, 12696]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull10.png	1
9	5	提灯探索	Searching Secret	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg09.png		12935		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[12931, 12932, 12933, 12934]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull11.png	1
10	5	沉海守护	Sunken Guardian	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg09.png		12940		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[12936, 12937, 12938, 12939]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull12.png	1
