Id	Type	Params	Formula	Desc
50000201	10202001	[2, 1, 30]		Shopping District - Traffic No Less Than 30
50000202	10202001	[3, 1, 29]		Shopping District - Traffic Less Than 3 Equal to 29
50000203			50000204&50000205	Shopping District - Food Store already constructed, correct ingredients less or equal to 2
50000204	10202003	[1, 111]		Shopping District - Food Store already constructed
50000205	10202015	[3, 2]		Shopping District - Food Store correct ingredients less or equal to 2
50000206			50000207&50000208	Shopping District - General Store already constructed, less or equal to 1 item with correct type
50000207	10202003	[1, 112]		Shopping District - General Store already constructed
50000208	10202017	[3, 1]		Shopping District - General Store less or equal to 1 item with correct type
50000209			50000210&50000211	Shopping District - Dessert House already constructed, inverse number greater or equal to 3
50000210	10202003	[1, 113]		Shopping District - Dessert House already constructed
50000211	10202020	[2, 3]		Shopping District - Dessert House inverse number greater or equal to 3
50000212	10202001	[2, 1, 30]		Shopping District - Traffic No Less Than 30
50000213	10202001	[3, 1, 20]		Shopping District - Traffic less or equal to 20
50000214	10202012	[3, 5]		Shopping District - Round less or equal to 5
50000215	10202003	[1, 111, 112]		Shopping District - Food Store & General Store already constructed - For Dessert mission
50000216	10202003	[1, 111, 113]		Shopping District - Food Store & Dessert House already constructed - For General mission
50000217	10202003	[1, 112, 113]		Shopping District - General Store & Dessert House already constructed - For Food mission
50000218	10202012	[3, 10]		Shopping District - Round Less or Equal to 10
50000219	10101003	[20010112]		Shopping District - Complete mission Part 1, unlock mode and Stage 1 of mode
50000220	10101003	[20010135]		Shopping District - Complete mission Part 2, unlock Stage 3 of mode
50000221	10101003	[20010158]		Shopping District - Complete mission Part 3, unlock Stage 5 of mode
50000222	10202003	[0, 111]		Shopping District - Food Store not constructed yet
50000223	10202003	[0, 112]		Shopping District - General Store not constructed yet
50000224	10202003	[0, 113]		Shopping District - Dessert House not constructed yet
50000225	10202003	[0, 211, 221, 231, 241]		Shopping District - No outer ring stores constructed yet
50000001	10202028	[1]		For QUEST - Clear Babylonia Shopping District Stage 1
50000002	10202028	[2]		For QUEST - Clear Babylonia Shopping District Stage 2
50000003	10202028	[3]		For QUEST - Clear Babylonia Shopping District Stage 3
50000004	10202028	[4]		For QUEST - Clear Babylonia Shopping District Stage 4
