Id	TipsContent	TriggerType	TriggerPram
1	<color=#27d833>> 执行中: 进程启动成功...</color>\n<color=#5acbff>> 这团代码真是维护得一团糟，我们一起解决这些BUG吧。</color>	1	
2	<color=#5acbff>> 再这样下去可不太妙，想办法解决它们。</color>	2	[1]
3	<color=#5acbff>> 再这样下去可不太妙，想办法解决它们。</color>	2	[2]
4	<color=#5acbff>> 再这样下去可不太妙，想办法解决它们。</color>	2	[3]
5	<color=#27d833>> 1星——至少条理清晰不少，或许还可以加把劲？</color>	3	[1]
6	<color=#27d833>> 2星——说不定你有成为专业黑客的天赋，不过还能更好。</color>	3	[2]
7	<color=#27d833>> 3星——收工收工，没必要在运行良好的代码上继续雕花。</color>	3	[3]
8	<color=#5acbff>> 能抢救的就这么多，接下来估计得点对点修复了。</color>	4	[10]
9	<color=#d52930>> 警告: 已进入追击阶段...</color>\n<color=#5acbff>> 抢救阶段已结束，那些BUG准备开始反击了，小心别被缠上。</color>	5	
10	<color=#5acbff>> 已找到解决问题的关键，是时候解决这些逃散的报错了。</color>	6	[4]
11	<color=#5acbff>> 提升代码可读性的方法。</color>	6	[3]
12	<color=#5acbff>> 成功减缓BUG运行速度，抓紧时间修复。</color>	6	[15]
13	<color=#5acbff>> 提升效率，早点结束。</color>	6	[16]
14	<color=#5acbff>> 是不是清爽些了。</color>	7	
15	<color=#5acbff>> 现在可以强制退出，但你甘心留下一串不完美的代码吗？</color>	8	[2, 3]
16	<color=#27d833>> 完美的工程，现在可以下工了。</color>	8	[1, 3]
17	<color=#5acbff>> 你可以选择更趁手的操作方式，滑屏和按键都可以切换。</color>	9	[1]
18	<color=#5acbff>> 你可以选择更趁手的操作方式，滑屏和按键都可以切换。</color>	9	[2]
