Id	IsIgnoreCount	GoodIds
1	True	[10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037]
2	True	[10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027]
3	True	[10001]
11	True	[10057, 10058, 10053, 10054, 10051, 10052, 10055, 10056]
12	True	[10061, 10062, 10065, 10064, 10063]
13	True	[10071, 10072, 10073]
21	True	[10081]
22	True	[10082]
23	True	[10083]
24	True	[10084]
25	True	[10085]
26	True	[10086]
27	True	[10087]
28	True	[10088]
29	True	[10081, 10082, 10083, 10084, 10085, 10086, 10087, 10088]
30	True	[10057, 10058, 10055]
31	True	[10101, 10102, 10103, 10104, 10105]
32	True	[10111, 10112, 10113, 10114, 10115, 10116]
1001	True	[20010, 20011, 20012, 20013]
2001	True	[30001, 30004, 30005, 30006, 30003, 30002]
2002	True	[30011, 30012, 10053, 10062, 10054, 10072, 10073, 10051, 10052, 10081, 10082, 10083, 10084, 10085, 10086, 10087, 10088, 10055, 10056, 10065, 10064, 10063]
2003	True	[30101, 30102, 30103, 30104, 30105]
