Id	TemplateId	Count
10001	9900080	100
10002	9900080	10
10003	9900080	100
10004	9900080	10
10005	9900080	100
10006	9900080	10
10007	9900080	100
10008	9900080	10
10009	9900080	100
10010	9900080	10
10011	9900080	100
10012	9900080	10
10013	9900080	100
10014	9900080	10
10015	9900080	100
10016	9900080	10
10020	50005	1000
10021	102	500
10022	26110001	1
10023	26210001	1
10024	26120003	1
10025	26120004	1
10026	11000262	1
10027	11000263	1
10030	50005	500
10031	102	300
10032	26110002	1
10033	26210002	1
10034	26120001	1
10035	26120002	1
10036	11000260	1
10037	11000261	1
10051	26120011	1
10052	26120012	1
10053	26110009	1
10054	26210006	1
10055	11000299	1
10056	11000300	1
10057	50005	1
10058	102	1
10061	102	1
10062	26110008	1
10063	30000106	1
10064	31000102	1
10065	11000301	1
10071	50005	1
10072	29004004	1
10073	29004007	1
10081	26120013	1
10082	26120014	1
10083	26120015	1
10084	26120016	1
10085	26120017	1
10086	26120018	1
10087	26120019	1
10088	26120020	1
10101	50005	1
10102	29004005	1
10103	29004006	1
10104	29004008	1
10105	29004009	1
10111	26120027	1
10112	26120026	1
10113	26120025	1
10114	26120024	1
10115	26120028	1
10116	26120023	1
20010	50005	1
20011	11000264	1
20012	29004003	1
20013	26210004	1
30001	3	1
30002	70001	1
30003	70002	1
30004	30013	1
30005	31204	1
30006	31104	1
30011	50005	1
30012	102	1
30101	102	1
30102	26110011	1
30103	102	1
30104	102	1
30105	30000107	1
