Key	Values
PlanTitle	['阶段{0}']
CommonProcessLabel	['{0}/{1}']
WheelchairManualBpExp	['1106']
PlanLockTips	['阶段未开启']
TotalDrawCount	['<size=30><color=#5b626e>已研发：</color></size>{0}<color=#5b626e>回</color>']
GuideActivityTimeLabel	['进行中: {0}']
ShowItemGroup	['2']
PlanSecondTitle	['{0} {1}/{2}']
BpLevelMaxProgressLabel	['MAX']
ActivityGuideProcessLabel	['<color=#0f70bc>{0}</color>/{1}']
PanelAssetCountColor	['ffffffff', '000000ff']
GuideGridFadeInAnimInterval	['0.1']
GiftPackGridFadeInAnimInterval	['0.1']
TeachingStageLockTips	['前置关卡未完成']
ExMainEntranceBubbleText	['角色']
ExmainEntranceBubbleResPath	['Assets/Product/Ui/Prefab/CommonRewardLeftTips.prefab']
