Id	Name	SortId	Bg	IsOnlyGroup
1	先锋服体验	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg1.png	1
3	邀请活动	10	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg2.png	1
5	回归支援	12	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg11.png	1
16	问卷调查	999	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelQuestionnaire.png	1
152	疾雷手册	998	Assets/Product/Texture/Image/UiWheelChairManual/UiWheelChairManualTab01.png	1
153	妄婪研发	997	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelGachaCanLiverV301.png	1
179	幻镜虚像	206	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanV304.png	1
180	末路燎原	207	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV304.png	1
181	寻道者焚骨	208	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryV304.png	1
182	适配拟合·啸牙	209	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryV304.png	1
183	焰骸孤冕	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelWeilaEffectCoatingV304.png	1
184	秘龙驰星	211	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelNanamiEffectCoatingV304.png	1
185	幽潮循光	205	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanV305.png	1
186	幻寂鸣泣曲	206	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV305.png	1
187	除魔者不朽·维吉尔	207	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTry2V305.png	1
188	适配拟合·幻影剑	208	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTry2V305.png	1
189	除魔者不朽·但丁	209	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryV305.png	1
190	适配拟合·科沃兹	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryV305.png	1
191	巫渺魂祀	211	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCibeizheEffectCoatingV305.png	1
192	沙飞虹芒	212	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelEchoEffectCoatingV305.png	1
193	绮愿稚梦	213	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelChaolifuEffectCoatingTryV210.png	1
194	炸裂霓虹☆	214	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelKalieEffectCoatingTryV213.png	1
195	绮影凛然	215	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelWeilaEffectCoatingV305.png	1
196	罪妄月华	216	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLunaEffectCoatingV300.png	1
197	一锤叮咚	204	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanV306.png	1
198	覆海归途	205	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV306.png	1
199	溯光者启颂	206	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryV306.png	1
200	适配拟合·浊璃	207	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryV306.png	1
201	绯烬黯棘	208	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBiankaEffectCoatingV306.png	1
202	粼海浮荧	209	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLuxiyaEffectCoatingV306.png	1
203	缘纺祈糸	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSailinnaEffectCoatingV306.png	1
204	贯击鸣穹	211	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanV304.png	1
205	织奏序言	220	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV307.png	1
206	织梦者不渝	221	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryV307.png	1
207	角色跃升-渡边	222	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharaUp.png	1
208	冥土渡魂	223	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelWanshiEffectCoatingV307.png	1
209	龙雀归膺	224	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelQuEffectCoatingV307.png	1
210	捕梦遮网	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanV308.png	1
211	理想笼	220	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV308.png	1
212	独行者回响	221	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryV308.png	1
213	适配拟合-鳞垒	222	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryV308.png	1
214	冥神绶寂	223	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelWeiluonikaEffectCoatingV308.png	1
215	诡祚轮契	224	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLilithEffectCoatingV308.png	1
216	赤樗椿	225	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLuxiya2EffectCoatingV215.png	1
217	茕心溯愿	226	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLamiyaCoatingV211.png	1
218	拾梦白菀	227	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBiankaEffectCoatingTryV201.png	1
219	拂晓长誓	228	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLuxiyaEffectCoatingV302.png	1
220	虚像妄念	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanv400.png	1
221	眠于厄寐之境	220	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLinev400.png	1
222	铭生者慈怜	221	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryv400.png	1
223	适配拟合-浮浮	222	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryv400.png	1
224	莲歌行	223	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabellifuEffectCoatingv400.png	1
225	夜诏终章	224	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelcibeizheEffectCoatingv400.png	1
226	角色跃升-终焉	225	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharaUp.png	1
227	极境统合	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanv401.png	1
228	推想视限	220	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLinev401.png	1
229	解惑者自苦	221	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryv401.png	1
230	适配拟合-吡啵	222	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryv401.png	1
231	熊迹旅诗	223	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBuouxiongEffectCoatingv401.png	1
232	诡魇轮骰	210	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelYureguanv402.png	1
233	冬冕的凋亡	220	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLinev402.png	1
234	故去者言别	221	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTryv402.png	1
235	适配拟合-波灵	222	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelPartnerTryv402.png	1
236	圣律锢金	223	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLuosaitaEffectCoatingv402.png	1
