Id	DescriptionType	Name	IsTimeStop	Icon	Text	Duration	NeedSendCommonClick	OffsetY	IsMask	MaskTargetWidget	MaskTargetUi	ClickKey	NextGuide	PrefabPath
90005101	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Initiating the first entropy-flow simulation. Threat level: extreme. Stay sharp.</size>	8.0								
90005102	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Move forward to approach the simulated combat target.</size>	99.0								
90005103	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Target closing in. Prepare to engage!</size>	3.0								
90005104	1	Celica	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Danger! Dodge now!</size>	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/ButtonDodge	1	2		
90005105	1	Celica	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>[Skill] module is unlocked! You can now cast skills!</size>	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/BtnSkill2	1	15		
90005106	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>When locking onto a target, you can see the target's current [Balance]. Keep attacking to reduce their [Balance]!</size>	7.0								
90005107	1	Celica	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Well done! The enemy has become [Imbalanced]. It's the perfect time to use [Follow-Up Skill]!</size>	12.0			True	UiFightDlcRelinkExtraControl/SafeAreaContentPane/UiDlcRelinkControlPanel(Clone)/PanelQTE1	1	90		
90005109	1	Celica	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>The enemy is preparing a powerful strike. Try using [Flash Block] to counter the assault.</size>	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/BtnSkill1	1	14		
90005111	1	Nanami		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR6Yongyechao3.png	<size=30>Boom! Here comes Nanami!</size>	2.0								
90005112	1	Liv		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu2.png	<size=30>I'll keep everyone safe!</size>	3.0								
90005113	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Enemy spike detected... Stay alert. It's changing attack patterns!</size>	3.0								
90005114	1	Liv		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu2.png	<size=30>Here, take cover behind me!</size>	8.0								
90005115	1	Celica	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>The enemy's Fury is displayed at the bottom of the target panel. Attacking enemies increases their Fury.</size>	12.0			True	UiFightDlcCommonTargetPanel/SafeAreaContentPane/UiDlcRelinkTargetPanel(Clone)/PanelZs/UiRelinkPanelEnemyInfo	1			
90005116	1	Celica	True	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Try locking onto the target.</size>	12.0			True	UiFightDlcCommonControl/SafeAreaContentPane/UiDlcRelinkCharacterControlPanel3(Clone)/ButtonFocus	1	8		
90005120	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Nice dodge! You're immune for a moment. Use it to strike back!</size>	7.0								
90005121	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Skills go on cooldown after use. Time your moves carefully.</size>	6.0								
90005122	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Beautiful response, and perfect timing, too!</size>	4.0								
90005123	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Warning! The target's energy is breaking the simulation threshold!</size>	8.0								
90005124	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Perfect! Liv and Nanami are here to back us up!</size>	5.0								
90005125	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>The enemy's paralyzed! This is your chance! Finish it!</size>	5.0								
90005126	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>The squad is fully charged! Commandant, give the order for a full assault!</size>	6.0								
90005127	1	Celica		Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	<size=30>Target signal... gone! All simulation data collected. Good work, everyone!</size>	10.0								
