Id	Name	BaseDesc	Icon	LevelDescList
1	云闪	以角色为圆心对周围敌人进行三次横扫近战攻击。	Assets/Product/Texture/Image/IconSkill/R2kuluomuhong1.png	['Ⅰ.伤害<color=#3ACC3B>=10/10/10。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.伤害提升至<color=#3ACC3B>15/15/15，</color>最后一段命中时，获得<color=#3ACC3B>1</color>次冲刺充能。', 'Ⅳ.释放后，召唤分身，在原地额外释放一次。']
2	迅刺	朝最近的敌人进行直刺近战攻击。	Assets/Product/Texture/Image/IconSkill/R1luxiyahong1.png	['Ⅰ.伤害<color=#3ACC3B>=35。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.伤害提升至<color=#3ACC3B>50。</color>大幅提升直刺范围。被动效果提升至：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅳ.被动效果：拾取信号球时，获得额外<color=#3ACC3B>1</color>经验值。']
3	横扫	以角色为圆心，朝最近的敌人进行扇形挥砍近战攻击。	Assets/Product/Texture/Image/IconSkill/R2shenweihong1.png	['Ⅰ.伤害<color=#3ACC3B>=25+</color>最大生命值<color=#3ACC3B>*10%。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.伤害提升至<color=#3ACC3B>35+</color>最大生命值<color=#3ACC3B>*15%。</color>被动效果：每次释放时，最大生命值<color=#3ACC3B>+1。</color>', 'Ⅳ.大幅提升扇形范围。']
4	绚烂之势	以角色为圆心，持续对周围敌人造成伤害。	Assets/Product/Texture/Image/IconSkill/R2ailahong1.png	['Ⅰ.持续<color=#3ACC3B>2</color>秒，每秒伤害<color=#3ACC3B>=24。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.每秒伤害提升至<color=#3ACC3B>32。</color>每次命中敌人时，移速<color=#3ACC3B>+20，</color>效果持续<color=#3ACC3B>5</color>s，重复触发刷新持续时间。', 'Ⅳ.伤害效果持续时间大幅提升，大幅提升伤害范围。']
5	缭乱	后续若干次普攻信号球掉落概率增加，重复触发叠加普攻次数。至多叠加<color=#3ACC3B>99</color>次	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	['Ⅰ.持续<color=#3ACC3B>5</color>次普攻，信号球掉落概率<color=#3ACC3B>+15%。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.信号球掉落概率提升至<color=#3ACC3B>+30%。</color>持续效果提升至<color=#3ACC3B>7</color>次普攻。被动效果：普攻伤害加成<color=#3ACC3B>+25%。</color>', 'Ⅳ.被动效果：拾取信号球时，获得额外<color=#3ACC3B>1</color>经验值。']
6	掠雷冲	朝最近的敌人进行直刺近战攻击。命中超过<color=#3ACC3B>3</color>名敌人时，普攻伤害加成<color=#3ACC3B>+10%。</color>	Assets/Product/Texture/Image/IconSkill/R5Luxiyahong1.png	['Ⅰ.伤害<color=#3ACC3B>=35。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.伤害提升至<color=#3ACC3B>50。</color>', 'Ⅳ.技能命中后<color=#3ACC3B>5</color>秒内普攻攻速<color=#3ACC3B>+50%。</color>']
7	反应射击	朝最近的敌人发射<color=#3ACC3B>3</color>次直线射击。	Assets/Product/Texture/Image/UiPBR/PBRItemsIcon100.png	['Ⅰ.每次伤害<color=#3ACC3B>=30。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.每次伤害提升至<color=#3ACC3B>50。</color><color=#3ACC3B>2</color>秒内获得暴击<color=#3ACC3B>+25%。</color>', 'Ⅳ.射击次数提升至<color=#3ACC3B>6</color>次。每次伤害提升至<color=#3ACC3B>60+</color>幸运<color=#3ACC3B>*50%。</color>']
8	离索跳弹	朝最近的敌人发射追踪子弹，子弹会在敌人间弹跳。	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	['Ⅰ.跳弹次数上限为<color=#3ACC3B>3，</color>伤害<color=#3ACC3B>=25+</color>射程<color=#3ACC3B>*200%。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.跳弹次数提升至<color=#3ACC3B>5，</color>伤害提升至<color=#3ACC3B>35+</color>射程<color=#3ACC3B>*300%。</color>', 'Ⅳ.无跳弹次数上限。']
9	爆烈投掷	朝最近的敌人发射爆弹。爆弹会留下灼烧区域持续造成伤害。	Assets/Product/Texture/Image/IconSkill/R2Sufeiyahong1.png	['Ⅰ.每秒伤害<color=#3ACC3B>=20。</color>持续<color=#3ACC3B>3</color>秒。', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.伤害效果持续时间提升至<color=#3ACC3B>6</color>秒，每秒伤害提升至<color=#3ACC3B>24。</color>', 'Ⅳ.大幅提升伤害范围，伤害值会在持续时间内递增。']
10	主动近防	召唤棋子，朝最近的敌人发射追踪子弹。	Assets/Product/Texture/Image/IconSkill/R5Lifuhong1.png	['Ⅰ.棋子持续<color=#3ACC3B>8</color>秒，伤害<color=#3ACC3B>=10。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.棋子伤害提升至<color=#3ACC3B>13。</color>子弹命中时会小范围爆炸，造成等量伤害。', 'Ⅳ.大幅提升爆炸范围。']
