Key	Values
MainShowRewardId	['68400']
CommonHelpKey	['UiPBRHelp']
PercentShowFormat	['{0}%']
UiStageMoveDuration	['0.2']
PanelAssetItems	['63620']
StageUnlockTimeFormat	['{0}开放']
StageUnlockPreStageFormat	['需通关{0}']
StageLockOutDateDesc	['关卡已过期']
UiStageBoundsLeftOffset	['2']
StageProgressDesc	['{0}/{1}']
SettleSkillSlotCount	['3']
SkillOrbStarColor	['2E9C80', 'D44B4B', '008EFF', 'EAA516']
RoleLevelFormat	['Lv.{0}']
ShopRefreshTimesDesc	['{0}/{1}']
ShopSelectGoodsTimesDesc	['({0}/{1})']
ShopNoFreshTimesTips	['商品刷新次数已达上限']
ShopSelectChoseItemTips	['该道具已选择']
ShopSelectItemSuccessTips	['选择道具成功']
ShopNoChooseTimesTips	['道具选择次数已达上限']
BattleSettleByHandTips	['当前尚未通关，提前退出将无法解锁下一关，是否确认退出？']
SettleTitle	['挑战成功', '挑战失败']
UIPauseTitle	['{0}-第{1}波']
ShopFreshSuccessTips	['道具刷新成功']
UIMainProgress	['{0}-第{1}波']
UIShopWavesProgress	['第{0}波']
RoleAttribShowLabel	['{0}', '<color=#25BB45>{0}</color>', '<color=#DD3333>{0}</color>']
CollectionTabName	['技能', '道具', '怪物']
CollectionMonsterTypeLabel	['普通', '精英', '<color=#FFFFFF>Boss</color>']
CollectionTitleWithLock	['???']
CharacterUnlockDesc	['通关{0}后解锁']
StageEnterFailWithLockChar	['角色未解锁，无法进入战斗']
CollectionSummaryTitleDesc	
CollectionPercentShowFormat	['{0}%']
CollectionSortTypeName	['默认排序', '解锁顺序', '稀有度']
GeniusPreNodeUnlockTips	['前置节点未解锁']
GeniusUnlockSuccessTips	['节点解锁成功']
GeniusNodeUnlockCostLimitTips	['解锁所需货币不足']
GeniusRewardTitleDesc	['解锁内容：', '已解锁：']
GeniusCostDesc	['{0}', '<color=#FF0000>{0}</color>']
GeniusDragAreaFocusTime	['1']
ShopSelectSkillSameColorDiffGroupTips	['选择后将替换当前同颜色的技能，是否确认？']
ShopGiveUpWithLastChooseTime	['放弃本次强化机会并进入下一波']
ShopGiveUpWithMultyChooseTime	['放弃本次强化机会并刷新所有商品']
ItemCountFormat	['X{0}']
ShopDialogHintDesc	['本次战斗不再弹出']
SettleStageNameDesc	['【第{0}关】']
UiChapterAnimDelayTime	['1']
UiChapterGridAnimInterval	['0.1']
SettleForceTips	['已放弃上一局游戏']
