Id	Desc	FadeId	EnterDuration	ExitDuration	Text	HoldDuration
10020101		Black	0.5	0.001	['CG动画部分']	[3.0]
10020102		Black	0.5	0.5	['通过军事警备区中央的电梯，指挥官追上了罗塞塔。']	[3.0]
10020103		Black	0.5	0.5	['依照安排，指挥官和罗塞塔回到了军事警备区。']	[3.0]
10020104		Black	0.001	0.5	['随后，指挥官返回了军事警备区。']	[3.0]
10020105		Black	0.5	0.5	['连番的战斗后，罗塞塔的意识海稳定了下来。', '导航员先前提到的黑盒，也暴露在了雪原之中。']	[3.0, 3.0]
70030101		Black	0.5	0.5	['将事务安排妥当后，你一路来到军事警备区。']	[3.0]
60010301		Black	0.5	0.5	['如其他人一般，你献上了一束花以悼念先烈。']	[3.0]
60010302		Black	0.5	0.5	['你将手沉入池中搜寻。']	[3.0]
70030102		Black	0.5	0.5	['进入会场后仪式随即开始，随着往复的敬礼与登台声，授勋名单也翻到了最后 ——']	[5.0]
30270302		Black	0.5	0.5	['拿到所需数据后，你来到正在等候的工程师面前。']	[5.0]
