Id	GroupId	Name	Title	HeadIconStyleId	InteractOptionTexts
1900001	500105	军用无人机			['【NpcName】']
1900002	500105	琳	新人管理员		['【NpcName】']
1900003	500105	泰勒维尔	电梯工程师		['【NpcName】']
1900004	500105	克赛尔	军备核准官		['【NpcName】']
1900005	500105	丕尼	安防士兵		['【NpcName】']
1900006	500105	维克特	执行部队构造体		['【NpcName】']
1900007	500105	切尔丹	武器维护师		['【NpcName】']
1900008	500105	纪鹭	书记官		['【NpcName】']
1900009	500105	格雷迪			['【NpcName】']
1900010	500105	戎	士官长		['【NpcName】']
1900011	500105	拉扎维	无人机工程师		['【NpcName】']
1900012	500105	白色无帽士兵男5			
1900013	500105	绿色无帽士兵男2			['旁听']
1900014	500105	白色工程师服男6			['旁听']
1900016	500105	男性构造体1（生态）			
1900017	500105	女性构造体3（生态）			
1900018	500105	女性构造体3（生态）			
1900019	500105	白色工程师服男2			['旁听']
1900020	500105	枪兵白			
1900021	500105	枪兵白			
1900022	500105	蓝色贝雷帽人类士兵男1			
1900023	500105	工作机器人蓝爪			
1900024	500105	工作机器人赫爪			
1900025	500105	工作机器人紫爪			
1900026	500105	白色工程师服女3			
1900027	500105	白色工程师服男2			
1900028	500105	白色工程师服男3			
1900031	500105	工作机器人			
1900032	500105	制服构造体士兵白1			
1900033	500105	枪兵白			
1900035	500105	绿色贝雷帽人类士兵男1			
1900037	500105	白色工程师服男4			
1900038	500105	白色贝雷帽人类士兵男1			
1900039	500105	白色工程师服男6			
1900040	500105	白色工程师服女4			
1900041	500105	白色工程师服女5			
1900042	500105	女性构造体2（生态2）			
1900043	500105	男性构造体2（生态2）			
1900044	500105	男y待机动作01（剧情）			
1900046	500105	白色工程师服女3			
1900047	500105	白色工程师服女6			
1900048	500105	白色工程师服男7			
1900049	500105	男性构造体1（剧情）			
1900050	500105	男y待机动作01（剧情）			
1900051	500105	白色无帽士兵女5			
1900052	500105	蓝色无帽士兵男4			
1900053	500105	制服构造体士兵白1			
1900055	500105	工作机器人			
1900058	500105	蓝色无帽士兵女5			
1900059	500105	蓝色无帽士兵女5			
1900060	500105	蓝色无帽士兵女5			
1900064	500105	制服构造体士兵白1			
1900065	500105	女性构造体2（生态2）			
1900067	500105	男性构造体2（生态2）			
1900070	500105	白色贝雷帽人类士兵男1			
1900074	500105	蓝色头盔人类士兵男1			
1900075	500105	白色工程师服男7			
1900076	500105	白色工程师服女3			
1900077	500105	罗塞塔			['【NpcName】', '能再多给我讲讲极地的春天吗？', '【NpcName】', '【NpcName】', '【NpcName】']
