Id	GroupId	Name	Title	HeadIconStyleId	InteractOptionTexts
2900001	7003	露西亚			
2900002	7003	凡妮莎			
2900003	7003	白色无帽士兵男4			
2900004	7003	白色无帽士兵男4			
2900005	7003	法奥斯学生B			
2900006	7003	法奥斯学生A			['旁听']
2900007	7003	女性构造体2（生态2）			['交谈']
2900008	7003	穿着得体的男性			
2900009	7003	制服构造体士兵白1			['交谈']
2900010	7003	制服构造体士兵红1			
2900011	7003	制服女NPC1（剧情）			
2900012	7003	法奥斯女学生			
2900013	7003	法奥斯女学生			
2900014	7003	白色贝雷帽人类士兵男1			
2900015	7003	法奥斯学生C			
2900022	7003	切尔丹	武器维护师		['【NpcName】']
2900025	7003	戎	士官长		['【NpcName】']
2900039	7003	绿色贝雷帽人类士兵男1			
2900045	7003	男性构造体1（剧情）			
2900046	7003	男y待机动作01（剧情）			
2900047	7003	白色无帽士兵女5			
2900048	7003	蓝色无帽士兵男4			
2900050	7003	工作机器人			
2900051	7003	蓝色无帽士兵女5			
2900052	7003	蓝色无帽士兵女5			
2900053	7003	蓝色无帽士兵女5			
2900054	7003	制服构造体士兵白1			
2900055	7003	女性构造体2（生态2）			
2900056	7003	男性构造体2（生态2）			
