Id	GroupId	Type	Repeatable	StoryId	ConditionType	Params	Name	Icon	Desc
1	3	2		HD017102BA	1	[1, 1]	与薇拉同行Ⅱ	Assets/Product/Texture/Image/BgStory/BgStory667.jpg	当有什么东西要烧起来了的时候，最好能够尽快扑灭火苗。
2	3	2		HD017103BA	1	[4, 0]	与薇拉同行Ⅲ	Assets/Product/Texture/Image/BgStory/BgStory667.jpg	以颜料为弹药，摧毁对手的所有作品。
3	5	2		HD017106BA	1	[2, 2]	与里同行Ⅱ	Assets/Product/Texture/Image/BgStory/BgStory671.jpg	在扑灭火苗之前，也许可以先找找事故的起因。
4	5	2		HD017107BA	1	[4, 0]	与里同行Ⅲ	Assets/Product/Texture/Image/BgStory/BgStory671.jpg	以颜料为弹药的战争，无法理解的执念。
5	7	2		HD017110BA	1	[3, 3]	与艾拉同行Ⅱ	Assets/Product/Texture/Image/BgStory/BgStory673.jpg	神秘的少女，从燃起的火苗后方出现。
6	7	2		HD017111BA	1	[5, 0]	与艾拉同行Ⅲ	Assets/Product/Texture/Image/BgStory/BgStory673.jpg	尝试触碰，尝试理解，人类的手并非利爪。
7	9	2		HD017114BA	1	[3, 0]	与卡列同行Ⅱ	Assets/Product/Texture/Image/BgStory/BgStory675.jpg	让工程部队的编曲，响彻康斯塔雷耶的每一条街道。
8	9	2		HD017115BA	1	[6, 0]	与卡列同行Ⅲ	Assets/Product/Texture/Image/BgStory/BgStory675.jpg	第一杯为人类调制的饮品，摆放在新开张的店铺桌上。
9	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg	待定剧情
10	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg	待定剧情
11	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg	待定剧情
12	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg	待定剧情
13	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg	待定剧情
14	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg	待定剧情
15	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg	待定剧情
16	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg	待定剧情
17	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg	待定剧情
18	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg	待定剧情
19	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg	待定剧情
20	2	2			1	[999, 0]	待定剧情	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg	待定剧情
21	3	1	1		1	[1, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	我可没时间浪费在那些奇奇怪怪的东西身上，告诉我他们的位置就好。
22	3	1	1		1	[3, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	指挥官是对那些作品产生共鸣了吗？真有意思。
23	3	1	1		1	[5, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	这么慢悠悠地处理任务，指挥官是觉得我们的时间太多了吗？
24	3	1	1		3	[4, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	既然是为了收集这种东西，直接从持有者身上掠夺不就好了吗？
25	3	1	1		3	[8, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	指挥官，自己收集到的玩具要自己拿哦，我可不会在身上挂载这种东西。
26	3	1	1		2	[5, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	指挥官开始变得能和机械体一起胡言乱语了，真是可喜可贺呀。
27	3	1	1		4	[2]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	指挥官是在寻求我的建议吗？那就这样好了。
28	3	1	1		4	[4]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	指挥官居然把事情都推到我头上，准备好在事后支付代价了吗？
29	3	1	1		5	[8]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	指挥官是什么地方出问题了吗？坚持住，我这就呼叫生命之星的增援。
30	3	1	1		5	[16]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	现在可不是胡闹的时候，指挥官，优先完成任务吧。
31	3	1	1		1	[999, 0]	薇拉	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	派系大师在搞鬼，降低它的等级！
