Id	Name	Type	LifeType	ShowType	ShowDesc	ShowOnPointTypes	ShowOnColors	Params	Icon	Desc
1	效果1	1	1		每回合首次移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill001.png	每回合前1次移动不消耗行动点-薇拉
2	效果2	15	1		提升作品展览等级，现在只需要消耗5点颜料	[1]	[1, 2, 3]	[5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill003.png	提升研究等级现在只需要消耗5个研究点-里
3	效果3	18	1		从颜料工坊获取的颜料数量+2	[3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill004.png	从能量点获取的数据数量+2-艾拉
4	效果4	3	1		三色颜料储存无上限			[999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill005.png	三色数据储存无上限-卡列
5	效果5	22	1		力作呈现、灵感爆发不进行随机，改为提升角色所在颜色的大师等级				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill007.png	常规&爆发不进行随机，改为提升角色所在颜色的BOSS强度-指挥官
6	效果6	2	2	1	本回合，在绿色区域上移动不消耗行动力	[1, 2, 3]	[2]	[2]		本回合，在绿色区域上移动不消耗行动力（起点判断）
7	效果7	4	1		关卡-方块等级从3级开始			[3]		关卡-方块等级从3级开始
8	效果8	5	1		关卡-方块等级提升时，提升数值+1			[1]		关卡-方块等级提升时，提升数值+1
9	效果9	6	2	1	本回合治疗时，需要额外花费1点颜料	[2]	[1, 2, 3]	[1]		本回合，每次治疗时，需要额外花费1点对应颜色的数据
10	效果10	6	1		每次治疗时，需要额外花费1点颜料	[2]	[1, 2, 3]	[1]		关卡-每次治疗时，需要额外花费1点对应颜色的数据
11	效果11	7	2	1	本回合，禁止使用红色治疗	[2]	[1]	[1]		本回合，禁止使用红色治疗
12	效果12	7	3	1	本回合，禁止使用红色治疗	[2]	[1]	[1]		下回合，禁止使用红色治疗
13	效果13	8	2	1	本回合，红色只能治疗1次	[2]	[1]	[1, 1]		本回合，红色只能治疗1次
14	效果14	8	2	1	本回合，绿色只能治疗1次	[2]	[2]	[2, 1]		本回合，绿色只能治疗1次
15	效果15	8	2	1	本回合，蓝色只能治疗1次	[2]	[3]	[3, 1]		本回合，蓝色只能治疗1次
16	效果16	9	2	1	本回合，全部颜色只能合计治疗3次	[2]	[1, 2, 3]	[3]		本回合，全部颜色只能合计治疗3次
17	效果17	9	3	1	本回合，全部颜色只能合计治疗3次	[2]	[1, 2, 3]	[3]		下回合，全部颜色只能合计治疗3次
18	效果18	10	4	1	红色颜料+3			[1, 3]		红色数据提升3
19	效果19	10	4	1	绿色颜料+3			[2, 3]		绿色数据提升3
20	效果20	10	4	1	蓝色颜料+3			[3, 3]		蓝色数据提升3
21	效果21	11	6	1	下回合，红色BOSS等级提升1	[101]	[1]	[1, 1]		下回合，红色BOSS等级提升1
22	效果22	11	6	1	下回合，绿色BOSS等级提升1	[101]	[2]	[2, 1]		下回合，绿色BOSS等级提升1
23	效果23	11	6	1	下回合，蓝色BOSS等级提升1	[101]	[3]	[3, 1]		下回合，蓝色BOSS等级提升1
24	效果24	12	4	1	本回合，所有颜色颜料变成7			[7]		本回合，所有颜色数据变成7
25	效果25	12	6	1	下回合，所有颜色颜料变成7			[7]		下回合，所有颜色数据变成7
26	效果26	13	4	1	红色研究等级+1			[1, 1]		红色研究等级提升1
27	效果27	13	4	1	绿色研究等级+1			[2, 1]		绿色研究等级提升1
28	效果28	13	4	1	蓝色研究等级+1			[3, 1]		蓝色研究等级提升1
29	效果29	14	4	1	本回合，行动点+3			[3]		本回合，行动点增加3点
30	效果30	15	2	1	本回合，提升研究等级现在只需要消耗4个研究颜料			[4]		本回合，提升研究等级现在只需要消耗4个研究数据
31	效果31	17	1		关卡-每回合首次执行地点行动后，扣除该区域颜色的1点颜料			[1, 1]		关卡-每回合首次执行地点行动后，扣除该区域颜色的1点数据
32	效果32	17	2	1	本回合，首次执行地点行动后，扣除该区域颜色的1点颜料			[1, 1]		本回合，首次执行地点行动后，扣除该区域颜色的1点数据
33	效果33	18	2	1	本回合首次获得颜料时，获得量+2			[1, 2]		本回合首次获得数据时，获得量+2
34	效果34	19	2	1	本回合，绿色可额外获得1次颜料（能量点）			[2, 1]		本回合，绿色可额外获得1次数据（能量点）
35	效果35	20	1		关卡-无法执行绿色地块行动，绿色病毒爆发后，其等级调整为4			[2, 4]		关卡-无法执行绿色地块行动，绿色病毒爆发后，其等级调整为4
36	效果36	21	2	1	本回合结算时，不走时间轴结算，但进度照常					本回合结算时，不走时间轴结算，但进度照常
37	效果37	23	2	1	本回合首次站立或经过中央区域时，获得1点红色资源			[1, 1]		本回合首次站立或经过中央区域时，获得1点红色资源
38	效果38	23	2	1	本回合首次站立或经过中央区域时，获得1点绿色资源			[2, 1]		本回合首次站立或经过中央区域时，获得1点绿色资源
39	效果39	23	2	1	本回合首次站立或经过中央区域时，获得1点蓝色资源			[3, 1]		本回合首次站立或经过中央区域时，获得1点蓝色资源
40	效果40	24	2	1	本回合结算时，时间轴结算事件执行2次			[2]		本回合结算时，时间轴结算事件执行2次
41	效果41	25	6	1	下回合开始时，角色所在颜色的BOSS，等级下降1			[1]		下回合开始时，角色所在颜色的BOSS，等级下降1
42	效果42	26	1		关卡-现在研究只能获得3或4点			[3, 3, 3, 4, 4, 4]		关卡-现在研究只能获得3或4点
43	效果43	27	2	1	本回合，执行研究时，可重新roll2次骰子			[2]		本回合，执行研究时，可重新roll2次骰子
44	效果44	28	2	1	本回合，前2次治疗，效果+1			[2, 1]		本回合，前2次治疗，效果+1
45	效果45	29	2	1	本回合，研究或治疗可混合使用红、绿颜料			[1, 2]		本回合，研究或治疗可混合使用红、绿数据
46	效果46	29	2	1	本回合，研究或治疗可混合使用绿、蓝颜料			[2, 3]		本回合，研究或治疗可混合使用绿、蓝数据
47	效果47	29	2	1	本回合，研究或治疗可混合使用红、蓝颜料			[1, 3]		本回合，研究或治疗可混合使用红、蓝数据
48	效果48	5	1		关卡-方块等级提升时，提升数值+2			[2]		关卡-方块等级提升时，提升数值+2
49	瞬移Ⅰ	1	2		每回合首次移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合前1次移动不消耗行动点（注意检查跟队长技是否叠加）
50	瞬移Ⅱ	1	2		每回合前2次移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合前2次移动不消耗行动点（注意检查跟队长技是否叠加）
