Id	Type	SubType	EventId	DramaId	SubTypeName	UnlockTips
1	1	1	820		盛典偶遇	N与薇拉同行,进入第3回合解锁
2	1	1	821		盛典偶遇	N与薇拉同行,进入第7回合解锁
3	1	1	824		盛典偶遇	N与里同行,进入第3回合解锁
4	1	1	825		盛典偶遇	N与里同行,进入第7回合解锁
5	1	1	828		盛典偶遇	N与艾拉同行,进入第3回合解锁
6	1	1	829		盛典偶遇	N与艾拉同行,进入第7回合解锁
7	1	1	832		盛典偶遇	N与卡列同行,进入第3回合解锁
8	1	1	833		盛典偶遇	N与卡列同行,进入第7回合解锁
9	1	1	836		盛典偶遇	N未来序曲Ⅰ,进入第3回合解锁
10	1	1	837		盛典偶遇	N未来序曲Ⅰ,进入第7回合解锁
11	1	1	840		盛典偶遇	N未来序曲Ⅱ,进入第3回合解锁
12	1	1	841		盛典偶遇	N未来序曲Ⅱ,进入第7回合解锁
13	1	1	844		盛典偶遇	N未来序曲Ⅲ,进入第3回合解锁
14	1	1	845		盛典偶遇	N未来序曲Ⅲ,进入第7回合解锁
15	1	2	822		幕后偶遇	H与薇拉同行,进入第7回合解锁
16	1	2	826		幕后偶遇	H与里同行,进入第7回合解锁
17	1	2	830		幕后偶遇	H与艾拉同行,进入第7回合解锁
18	1	2	834		幕后偶遇	H与卡列同行,进入第7回合解锁
19	2	4		1	盛典记叙	与薇拉同行，红色作品展览满级解锁
20	2	4		2	盛典记叙	与薇拉同行，累计提升4次作品展览
21	2	4		3	盛典记叙	与里同行，绿色作品展览满级解锁
22	2	4		4	盛典记叙	与里同行，累计提升4次作品展览
23	2	4		5	盛典记叙	与艾拉同行，蓝色作品展览满级解锁
24	2	4		6	盛典记叙	与艾拉同行，累计提升5次作品展览
25	2	4		7	盛典记叙	与卡列同行，累计提升3次作品展览
26	2	4		8	盛典记叙	与卡列同行，累计提升6次作品展览
