Id	Name	Desc	Icon	EffectIds
1	没颜料了	无法获取颜料，每次移动都能获得地块同色颜料1点	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill016.png	[160, 161]
2	艰难研究	提升作品展览的颜料需求量，每回合-1，提升后重置	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill015.png	[162]
3	禁止研究	无法提升作品展览等级，回合开始时若大师到达6级，对应作品展览+1	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill014.png	[163, 164]
4	特殊胜利	胜利条件发生变更，颜料总量到达50后胜利	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill002.png	
5	致命病毒Ⅰ	回合结算时，力作呈现、灵感爆发影响的大师等级额外+1	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill013.png	[165]
6	与时间赛跑	时间推移更快！	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill012.png	[8]
7	局部封锁	无法执行绿色地块的行动，触发大师时代后，绿方大师等级调整为4	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill011.png	[35]
8	致命病毒Ⅱ	回合结算时，受影响的大师等级额外+1	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill013.png	[166]
9	与时间赛跑	时间推移更快！！	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill012.png	[48]
10	新手第一关限制	只允许执行绿色行动，第二回合roll出5，BOSS等级只提升绿色	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill001.png	[257, 258, 262, 263]
11	新手第二关限制	第一回合结束指定提升绿色boss等级	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill001.png	[264]
