Id	Name	MapType	Clearable	Rebootable	BossExplodeLevel	StudyLevelLimit	StudyDataLimit	BossLevels	StudyDatas	StudyLevels	BornPosition	InitActionPoint	MaxActionPoint	InitTimeBlock	EventGroupId	DramaGroupId	PointGroupId	BossRebootLevel
1	与薇拉同行	1		1	6	6	7	[5, 2, 1]	[7, 4, 4]	[5, 4, 3]	1	5	99	1	4	3	1	4
2	与里同行	1		1	6	6	7	[5, 2, 2]	[7, 4, 4]	[5, 4, 3]	1	5	99	1	5	5	2	4
3	与艾拉同行	1		1	6	6	7	[5, 3, 3]	[4, 4, 4]	[5, 3, 3]	1	5	99	1	6	7	3	4
4	与卡列同行	1		1	6	6	7	[5, 4, 3]	[4, 4, 4]	[4, 3, 3]	1	5	99	1	7	9	4	4
5	千色万华Ⅰ	2		1	6	6	7	[4, 5, 3]	[4, 4, 4]	[3, 4, 3]	10	5	99	1	12	11	5	4
6	千色万华Ⅱ	2		1	6	6	7	[3, 4, 5]	[4, 4, 4]	[3, 3, 4]	10	5	99	1	13	13	6	4
7	千色万华Ⅲ	2	1	1	6	6	7	[5, 4, 3]	[4, 4, 4]	[4, 3, 3]	10	5	99	1	14	15	7	4
8	H与薇拉同行	1			6	6	7	[5, 4, 3]	[3, 3, 3]	[4, 3, 3]	1	5	99	1	8	4	8	4
9	H与里同行	1			6	6	7	[4, 5, 3]	[3, 3, 3]	[3, 4, 2]	1	5	99	1	9	6	9	4
10	H与艾拉同行	1			6	6	7	[3, 4, 5]	[1, 1, 1]	[2, 3, 3]	1	5	99	1	10	8	10	4
11	H与卡列同行	1			6	6	7	[5, 4, 3]	[1, 1, 1]	[2, 2, 2]	1	5	99	1	11	10	11	4
12	H千色万华Ⅰ	2			6	6	7	[4, 5, 3]	[1, 1, 1]	[2, 2, 2]	10	5	99	1	15	12	12	4
13	H千色万华Ⅱ	2			6	6	7	[3, 4, 5]	[1, 1, 1]	[2, 2, 2]	10	5	99	1	16	14	13	4
14	H千色万华Ⅲ	2	1		6	6	7	[5, 4, 3]	[1, 1, 1]	[2, 2, 2]	10	5	99	1	17	16	14	4
15	浅绘折光Ⅰ	3		1	6	6	7	[1, 3, 1]	[0, 4, 0]	[6, 4, 6]	2	5	99	1			15	4
16	浅绘折光Ⅱ	1		1	6	6	7	[6, 6, 1]	[7, 7, 5]	[5, 5, 4]	1	5	99	1			16	4
