Id	Type	Params	Desc
1	1	[1.0, 1.0, 3.0]	红色数据小于3
2	1	[2.0, 1.0, 3.0]	绿色数据小于3
3	1	[3.0, 1.0, 3.0]	蓝色数据小于3
4	2	[1.0]	红色研究数量最多
5	2	[2.0]	绿色研究数量最多
6	2	[3.0]	蓝色研究数量最多
7	3	[1.0, 3.0, 3.0]	红色boss等级大于3
8	3	[2.0, 3.0, 3.0]	绿色boss等级大于3
9	3	[3.0, 3.0, 3.0]	蓝色boss等级大于3
10	4	[1.0, 1.0, 3.0]	红色研究等级小于3
11	4	[2.0, 1.0, 3.0]	绿色研究等级小于3
12	4	[3.0, 1.0, 3.0]	蓝色研究等级小于3
13	5	[1.0]	当前格子为常规
14	5	[2.0]	当前格子为爆发
15	5	[3.0]	当前格子为大流行
16	6	[2.0, 3.0]	时间进度等于3
17	7	[2.0, 1.0]	1个研究等级达到满值
18	7	[2.0, 2.0]	2个研究等级达到满值
19	8	[3.0, 4.9899]	病毒平均等级大于5
20	8	[3.0, 5.59]	病毒平均等级大于5.6
21	4	[1.0, 3.0, 4.0]	红色研究等级大于4
22	4	[2.0, 3.0, 4.0]	绿色研究等级大于4
23	4	[3.0, 3.0, 4.0]	蓝色研究等级大于4
24	1	[0.0, 3.0, 24.0]	当前三色颜料数量合计大于24（相当于大于等于25）
25	1	[0.0, 3.0, 29.0]	当前三色颜料数量合计大于29（相当于大于等于30）
26	1	[0.0, 3.0, 39.0]	当前三色颜料数量合计大于39（相当于大于等于40）
27	6	[2.0, 2.0]	时间轴进度等于2
28	6	[2.0, 4.0]	时间轴进度等于4
29	6	[2.0, 6.0]	时间轴进度等于6
30	9	[3.0, 1.0]	回合数大于1回合-简单难度事件
31	9	[3.0, 5.0]	回合数大于5回合-困难难度事件
32	9	[3.0, 5.0]	回合数大于5回合-简单难度事件
33	9	[3.0, 11.0]	回合数大于11回合-困难难度事件
