Id	GroupId	PositionId	Color	Name	Type	Icon	TipIcon	PointDesc	EffectDesc	Params
1	1	1	2	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyGreenTips.png	获得绿色颜料	每回合只能获取一次绿色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点绿色颜料	[1, 3, 3, 3, 4, 4, 5]
2	1	2	2	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalGreenTips.png	降低绿方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，绿方大师等级-1，作品展览6级后，可将绿方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1绿色颜料，绿方大师等级-2	[1, 1, 1, 1]
3	1	3	2	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyGreenTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点绿色颜料，提升1级展览等级	[1, 7, 1]
4	1	4	3	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyBlueTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点蓝色颜料，提升1级展览等级	[1, 7, 1]
5	1	5	3	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalBlueTips.png	降低蓝方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，蓝方大师等级-1，作品展览6级后，可将蓝方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1蓝色颜料，蓝方大师等级-2	[1, 1, 1, 1]
6	1	6	3	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyBlueTips.png	获得蓝色颜料	每回合只能获取一次蓝色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点蓝色颜料	[1, 3, 3, 3, 4, 4, 5]
7	1	7	1	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalRedTips.png	降低红方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，红方大师等级-1，作品展览6级后，可将红方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1红色颜料，红方大师等级-2	[1, 1, 1, 1]
8	1	8	1	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyRedTips.png	获得红色颜料	每回合只能获取一次红色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点红色颜料	[1, 3, 3, 3, 4, 4, 5]
9	1	9	1	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyRedTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点红色颜料，提升1级展览等级	[1, 7, 1]
10	1		1	派系大师(红)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1RobotarmorMd030001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	超现实机械野兽派大师	击破阶段1后可进行作战	
11	1		2	派系大师(绿)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SuanyegongyiMd000001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossGreenTips.png	多维机械立体派大师	击破阶段1后可进行作战	
12	1		3	派系大师(蓝)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004040.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossBlueTips.png	幻想机械印象派大师	击破阶段1后可进行作战	
13	1			隐藏大师	102	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	隐藏大师	触发特殊通关后可进行作战	
14	2	1	2	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyGreenTips.png	获得绿色颜料	每回合只能获取一次绿色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点绿色颜料	[1, 3, 3, 3, 4, 4, 5]
15	2	2	2	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalGreenTips.png	降低绿方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，绿方大师等级-1，作品展览6级后，可将绿方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1绿色颜料，绿方大师等级-2	[1, 1, 1, 1]
16	2	3	2	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyGreenTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点绿色颜料，提升1级展览等级	[1, 7, 1]
17	2	4	3	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyBlueTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点蓝色颜料，提升1级展览等级	[1, 7, 1]
18	2	5	3	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalBlueTips.png	降低蓝方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，蓝方大师等级-1，作品展览6级后，可将蓝方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1蓝色颜料，蓝方大师等级-2	[1, 1, 1, 1]
19	2	6	3	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyBlueTips.png	获得蓝色颜料	每回合只能获取一次蓝色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点蓝色颜料	[1, 3, 3, 3, 4, 4, 5]
20	2	7	1	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalRedTips.png	降低红方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，红方大师等级-1，作品展览6级后，可将红方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1红色颜料，红方大师等级-2	[1, 1, 1, 1]
21	2	8	1	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyRedTips.png	获得红色颜料	每回合只能获取一次红色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点红色颜料	[1, 3, 3, 3, 4, 4, 5]
22	2	9	1	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyRedTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点红色颜料，提升1级展览等级	[1, 7, 1]
23	2		1	派系大师(红)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1JiegouqiutuMd010001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	超现实机械野兽派大师	击破阶段1后可进行作战	
24	2		2	派系大师(绿)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SuanyegongyiMd000001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossGreenTips.png	多维机械立体派大师	击破阶段1后可进行作战	
25	2		3	派系大师(蓝)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/Me1WuzangliuxingMd000001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossBlueTips.png	幻想机械印象派大师	击破阶段1后可进行作战	
26	2			隐藏大师	102	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	隐藏大师	触发特殊通关后可进行作战	
27	3	1	2	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyGreenTips.png	获得绿色颜料	每回合只能获取一次绿色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点绿色颜料	[1, 3, 3, 3, 4, 4, 5]
28	3	2	2	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalGreenTips.png	降低绿方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，绿方大师等级-1，作品展览6级后，可将绿方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1绿色颜料，绿方大师等级-2	[1, 1, 1, 1]
29	3	3	2	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyGreenTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点绿色颜料，提升1级展览等级	[1, 7, 1]
30	3	4	3	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyBlueTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点蓝色颜料，提升1级展览等级	[1, 7, 1]
31	3	5	3	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalBlueTips.png	降低蓝方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，蓝方大师等级-1，作品展览6级后，可将蓝方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1蓝色颜料，蓝方大师等级-2	[1, 1, 1, 1]
32	3	6	3	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyBlueTips.png	获得蓝色颜料	每回合只能获取一次蓝色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点蓝色颜料	[1, 3, 3, 3, 4, 4, 5]
33	3	7	1	艺术点评	2	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalRedTips.png	降低红方大师的等级	<color=#00FFFF>议论：</color>消耗1行动点，红方大师等级-1，作品展览6级后，可将红方大师等级设置为1     <color=#00FFFF>瑕疵抨击：</color>消耗1行动点和1红色颜料，红方大师等级-2	[1, 1, 1, 1]
34	3	8	1	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyRedTips.png	获得红色颜料	每回合只能获取一次红色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点红色颜料	[1, 3, 3, 3, 4, 4, 5]
35	3	9	1	作品展览	1	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyRedTips.png	提升该流派的理解！	<color=#00FFFF>展览：</color>消耗7点红色颜料，提升1级展览等级	[1, 7, 1]
36	3		1	派系大师(红)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1JiulongzhongyaziMd000001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	超现实机械野兽派大师	击破阶段1后可进行作战	
37	3		2	派系大师(绿)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004060.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossGreenTips.png	多维机械立体派大师	击破阶段1后可进行作战	
38	3		3	派系大师(蓝)	101	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004020.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossBlueTips.png	幻想机械印象派大师	击破阶段1后可进行作战	
39	3			隐藏大师	102	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	隐藏大师	触发特殊通关后可进行作战	
40	4	1	2	颜料工坊	3	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyGreenTips.png	获得绿色颜料	每回合只能获取一次绿色颜料     <color=#00FFFF>获取：</color>消耗1行动力，随机获得3~5点绿色颜料	[1, 3, 3, 3, 4, 4, 5]
