Id	GroupId	TimelineIds	MaxTriggerCount	InitWeight	ConditionWeights	ConditionIds	EffectIds	ShowType	Name	Desc	Icon	SmallIcon
1	1	[3, 5, 7, 8]		300	{1: 500}	{1: '1&2&3'}	[18, 19, 20]	1	遭遇Ⅰ	1三色颜料量小于3时提升，三色颜料提升3	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
2	1	[3, 5, 7, 8]			{1: 500}	{1: '7&8&9'}	[21, 22, 23]	1	遭遇Ⅱ	2默认没有，三色BOSS等级小于3时提升，所有BOS等级提升1	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
3	1	[3, 5, 7, 8]			{1: 500}	{1: '10&11&12'}	[24]	1	遭遇Ⅲ	3默认没有，三色研究等级小于3时提升，所有研究等级变成7	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
4	1	[3, 5, 7, 8]		300			[6]	1	遭遇6	4本回合，在绿色区域上移动不消耗行动力（起点判断）	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
5	1	[3, 5, 7, 8]		300			[9]	1	遭遇7	5本回合，每次治疗时，需要额外花费1点对应颜色的颜料	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
6	1	[3, 5, 7, 8]		300			[11]	1	遭遇8	6本回合，禁止使用红色治疗	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
7	1	[3, 5, 7, 8]		300			[12]	1	遭遇9	7下回合，禁止使用红色治疗	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
8	1	[3, 5, 7, 8]		300			[13]	1	遭遇Ⅰ0	8本回合，红色只能治疗1次	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
9	1	[3, 5, 7, 8]		300			[14]	1	遭遇ⅠⅠ	9本回合，绿色只能治疗1次	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
10	1	[3, 5, 7, 8]		300			[15]	1	遭遇ⅠⅡ	10本回合，蓝色只能治疗1次	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
11	1	[3, 5, 7, 8]		300			[16]	1	遭遇ⅠⅢ	11本回合，全部颜色只能合计治疗3次	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
12	1	[3, 5, 7, 8]		300			[17]	1	遭遇Ⅰ4	12下回合，全部颜色只能合计治疗3次	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
13	1	[3, 5, 7, 8]		300			[18]	1	遭遇Ⅰ5	13红色颜料提升3	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
14	1	[3, 5, 7, 8]		300			[19]	1	遭遇Ⅰ6	14绿色颜料提升3	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
15	1	[3, 5, 7, 8]		300			[20]	1	遭遇Ⅰ7	15蓝色颜料提升3	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
16	1	[3, 5, 7, 8]		300			[21]	1	遭遇Ⅰ8	16下回合，红色BOSS等级提升1	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
17	1	[3, 5, 7, 8]		300			[22]	1	遭遇Ⅰ9	17下回合，绿色BOSS等级提升1	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
