Id	ChapterId	Order	DifficultyId	Name	StageType	PreStageId	TimeId	CaptainId	MapId	NormalWinConditionId	SpecialWinConditionId	NormalStageId	SpecialStageId	BossFightEventIds	NormalStageAbility	SpecialStageAbility	StageEffectId	RobotGroupId	FirstRewardId	PassRewardId	RebootPassRewardId	ClearNodeCount	ClearNodeRewardId	Icon	MovieId	BreakTitle	BreakDesc	NormalWinTitle	NormalWinDesc	SpecialWinTitle	SpecialWinDesc
1	1	1	1	浅绘折光Ⅰ	3			6	15	9		30110116	30110116	[2270107, 2270108, 2270109]	5300	5300	10	1	17043					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage06.png		中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
2	1	2	1	浅绘折光Ⅱ	4	1		6	16	1		30110116	30110116	[2270107, 2270108, 2270109]	5300	5300	11	1	17044					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage08.png		中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
3	1	3	1	N与薇拉同行	1	2		1	1	1		30110116	30110116	[2270107, 2270108, 2270109]	5300	5300		1	17001	17015	17015			Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage01.png	HD017101BA	中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
4	1	4	1	N与里同行	1	3		2	2	1		30110117	30110116	[2270107, 2270108, 2270109]	5300	5300		2	17002	17016	17016			Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage03.png	HD017105BA	中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
5	1	5	1	N与艾拉同行	1	4		3	3	1		30110118	30110116	[2270107, 2270108, 2270109]	5300	5300		3	17003	17017	17017			Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage04.png	HD017109BA	中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
6	1	6	1	N与卡列同行	1	5		4	4	1		30110119	30110116	[2270107, 2270108, 2270109]	5300	5300		4	17004	17018	17018			Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage02.png	HD017113BA	中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
7	1	3	2	H与薇拉同行	1	6		1	8	1		30110124	30110116	[2270107, 2270108, 2270109]	6000	6000	1	1	17005	17019	17019			Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage01.png		中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
8	1	1	2	H与里同行	1	6		2	9	1		30110125	30110116	[2270107, 2270108, 2270109]	6000	6000	2	2	17006	17020	17020			Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage03.png		中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
9	1	4	2	H与艾拉同行	1	6		3	10	1		30110126	30110116	[2270107, 2270108, 2270109]	6000	6000	3	3	17007	17021	17021			Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage04.png		中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
10	1	2	2	H与卡列同行	1	6		4	11	6		30110127	30110116	[2270107, 2270108, 2270109]	6000	6000	4	4	17008	17022	17022			Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage02.png		中断挑战	康斯塔雷耶仍处于激烈的艺术探求中……	胜利达成！	使用艺术及行动征服大师	胜利达成！	使用艺术及行动征服大师
