Key	Comment	Values
StageMainCostItems	关卡主界面用消耗道具栏	['96114']
DayRefreshTime	每日刷新时间(怪物移动等)单位：24小时制小时(例：早上8点 = 8 晚上8点 = 20)	['20']
HourRefreshTime	定时刷新时间（单位：分钟）	['5']
PathMarkMaxCount	最大标记点数	['2']
StageTypeName	关卡类型名	['资源保障区', '关口', '资源富地', '伏击前哨', '险峻隘口', '高危绝壁', '高危绝壁', '高危绝壁', '高危绝壁', '高危绝壁', '隐藏区域', '协援哨所', '隐藏区域', '高危绝壁', '高危绝壁', '孤崖关塞', '资源保障区', '资源保障区', '高危绝壁']
StageTypeIcon	关卡类型图标	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon6.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon3.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_1.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon5.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon7.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon9.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon9.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon9.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon11.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon10.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon11.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon5.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon5.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon14.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon15.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon15.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon5.png']
LogCount	显示最近几条战报	['30']
AutoSelectDifficultyTime	自动选择难度的时间(24小时制)	['23']
EntryRewardId	入口的奖励展示	['550600']
SpecialRoleIcon1	特攻图标（主要角色），索引对应组Id	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconNew02.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconNew01.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconNew03.png']
SpecialRoleIcon2	特攻图标（次要角色），索引对应组Id	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconNew02.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconNew01.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconNew03.png']
SpeicalRoleIconBg	特攻图标底图，索引对应组Id	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconBgNew02.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconBgNew01.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarUpIconBgNew03.png']
SpecialRoleTeamName	特攻队伍名称，索引对应组Id	['特攻队伍1', '特攻队伍2', '特攻队伍3']
PassRewardShow	难度选择界面奖励预览	['67823', '67824', '67825']
PlanPath1	"""推荐线路, 难度1"""	['102', '103', '104', '105', '106', '107']
PlanPath2	"""推荐线路, 难度2"""	['202', '203', '204', '205', '206', '207']
PlanPath3	"""推荐线路, 难度3"""	['302', '303', '304', '305', '306', '307']
ShopSkipId	商店界面跳转的Id，对应SkipFunctional	['88002']
CancelDefend	取消驻守弹窗提示	['是否取消驻守？']
ChangeDefend	驻守（但已驻守）时弹窗提示	['您已驻守其他资源点，是否更换驻守位置?']
DefendSuccess	驻守成功提示	['驻守成功']
DefendBtnDisplay	驻守按钮的文本显示	['进入驻守', '取消驻守']
DefendTime	炮击倒计时文本	['炮击倒计时:{0}']
DefendPercentDetail	详细页的驻守占比文本	['驻守占比:{0}%']
MemberLevel		['等级: {0}']
AttackLeftTimes		['剩余{0}次']
BuffShowTimeEvents	需要显示炮击倒计时等信息的EventId填这里	['2240408']
BuffUnshowRebuilTagEvents	资源点重建的时候不需要显示重建tag的EventId填这里	['2240409']
ResNodeRebuildIcons		['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon18.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon19.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon20.png']
GuildQuitLastMemberInWar		['退出后指挥局将会解散，8小时内将无法加入指挥局，如果已参与众志行征，本轮再次加入其他公会无法继续参与众志行征，是否继续？']
ReinforcementsRushDesc	援军进攻描述	['攻坚战车可以进攻敌方点位，对敌方节点造成大量伤害！']
ReinforcementsRushNextTime	援军行动倒计时	['(剩余时间: {0} )']
ReinforcementsRushStateDesc	援军行动状态描述	['攻坚战车准备中', '攻坚战车进攻中']
BuffShowReinforceEvents	需要显示当前援助进度信息的eventId填这里	['2240410']
ReinforcementsSupportDetail	援助物资情况	['<color=#FF1111FF>已累计援助: {0} 物资 血量提升{1}</color>']
LockBossNode	目前Boss有两种形态，是否要锁定只有一个形态（仅left节点）	['1']
ReinforcementSupportTxt	援军详情页援助按钮文本显示	['援助物资', '已援助']
ReinforcementSupportResultTxt	点击援助按钮成功后的文本提示	['援助物资成功', '取消援助成功']
ReinforceSupportListEntranceTxt	援助列表入口按钮的文本	['援助成员']
ReinforcementsReadyDoneTxt		['{0}后完成准备']
NodeShowReinforcementEvents	如果援军里的showevent在这里配置了，则会继承到关卡上	['2240411', '2240412', '2240413']
NodeAttackedByReinforementBuffTime	被援军攻击的节点上的buff剩余时间文本格式	['(剩余时间: {0} )']
BossRewardEntranceIntercept	boss奖励入口（主界面左边【领主】）的拦截提示文本	['曾在其他指挥局参与行征，本轮无法领取领主奖励']
ReinforcementSupportInCDTips		['操作过于频繁，请稍后再试']
DragonRageLevelTips	迷雾等级描述	['迷雾等级随周目提升，所有关卡难度将会随迷雾等级同步提升。']
DragonRageLevel	迷雾等级格式	['LV.{0}']
DragonRageToRelicTitle	迷雾玩法节点切废墟弹窗标题	['领主变得更加狂暴，以下节点成为废墟']
DragonRageEffectShowLowerLimit	迷雾玩法进度条显示特效下限百分比	['0']
DragonRageSweepTips	迷雾玩法下的周目扫荡	['当前周目尚未手动通关，扫荡积分将使用上次手动通关积分计算']
DragonRageRoundNoTips		['本周目不再提示']
RoleStationBtnName	选择角色驻扎的驻扎文本，1是正常驻扎，2是角色在其他关卡驻扎中	['驻扎', '其他关卡驻扎中']
NoRoleSelectForStation	确认驻扎时未选择角色的提示	['未选择角色']
RoleStationedOtherNodeTips	选择已驻扎其他节点的角色，点击按钮时提示	['角色已驻扎在其他关卡']
RoleStationedSuccessTips	选择角色驻扎成功的飘窗	['驻扎成功']
RoleStationedRemoveTips	移除驻扎角色成功的飘窗	['撤回成功']
PanelRoleStationStateShow	关卡详情面板里，驻扎UI标题文本，1是可驻扎，2是已驻扎，3是满了不能驻扎	['点击驻扎', '驻扎中', '驻扎机体已达上限']
PanelRoleStationProgressShow	关卡详情面板，驻扎进度及效果描述文本	['公会已驻扎<color=#34AFF8>{0}/{1}</color>名机体。下周目刷新时，此处血量削减<color=#34AFF8>{2}%</color>']
CharacterJoinTeamWithStationedTips	编队将驻扎角色加入时的提示	['{0}正驻扎在【{1}】，是否将其撤回并编入此队伍？']
CannotStationedWithMaxTips		['该关卡驻扎数量已达上限']
