Id	NpcId	Level	BuffIds	BuffLevels	MaxLife	Note
1101	90120	66			7000	保护者
1102	90030	75			22000	修理机工
1103	90180	93			56000	执行者
1104	90150	64			11000	液压
1105	90160	92			34000	哨戒机炮
1106	90190	105			84000	守护者
1107	90090	109			14000	地面监视器
1108	90100	83			45000	空中监视器
1109	90110	134			125000	巡境者
1110	90210	82			21000	园丁
1111	90222	50			45000	遗迹挖掘者
1112	90372	103			140000	遗迹勘探者
1113	90090	90			7000	地面监视器
1114	90372	70			22000	遗迹勘探者
1115	90110	125			55000	巡境者
1116	90490	134			35000	异聚空中监视器
1117	90470	117			110000	异聚液压
1118	90480	110			280000	异聚哨戒机炮
1119	90170	161			50000	布道者
1120	90180	93			160000	执行者
1121	90340	79			330000	禁卫
1122	90650	253			56000	舞轮
1123	90640	135			180000	力士
1124	90700	106			500000	至尊
1125	90770	113			65000	海5
1126	90760	196			200000	陆3
1127	90780	112			650000	陆1
1128	90180	80			21000	执行者
1129	90640	110			63000	力士
1130	90780	81			140000	陆1
1131	93303	117			84000	仿钳宿体
1132	93293	132			270000	赤礁宿体
1133	93053	116			126000	构造体士兵
1134	93063	157			610000	构造体队长
1135	93353	183			1320000	精英构造体
1136	90130	111			197000	驯兽师
1137	90410	147			393000	酸液工蚁
1138	90400	150			702000	仿生斗牛
1139	93423	140			365000	异和袭狼
1140	93433	189			843000	拟原生物
1141	93503	290			1000	认知错揉体
1142	93423	117			56000	异和袭狼
1143	90410	123			180000	酸液工蚁
1144	90400	150			450000	仿生斗牛
1145	93413	221			170000	石镇
1146	93443	507			900000	求道者
1147	90810	440			1350000	太阿
1148	93403	949			1510000	守门人
1149	90190	146			210000	守护者
1150	90130	123			1130000	驯兽师
1151	90400	150			1630000	仿生斗牛
1152	90980	190			2200000	警长
1153	93053	184			210000	构造体士兵
1154	93063	235			1120000	构造体队长
1155	90380	400			1630000	构造体
1156	93353	456			2030000	精英构造体
1157	90760	312			420000	长耳兔
1158	90940	231			2190000	蝎子
1159	90410	220			3370000	酸液工蚁
1160	90630	633			4050000	异和勘探单元
1161	90860	161			50000	波普尔
1162	90890	412			670000	感染构造体
1163	93030	290			1680000	类人
