Id	GroupId	LevelId	UnlockSpend	Name	Icon
1	1	[1001, 1002, 1003, 1004]	25	无尽旋律	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png
2	1	[1101, 1102, 1103, 1104]	25	休止符号	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png
3	1	[1201, 1202, 1203, 1204]	50	谢幕准备	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png
4	2	[2001, 2002, 2003, 2004]	25	急促频闪	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png
5	2	[2101, 2102, 2103, 2104]	50	缓滞时刻	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png
6	2	[2201, 2202, 2203, 2204]	100	落影浮光	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
7	3	[3001, 3002, 3003, 3004]	50	芒刺绽放	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png
8	3	[3101, 3102, 3103, 3104]	100	棘路舞曲	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png
9	3	[3201, 3202, 3203, 3204]	150	深渊狂宴	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12111.png
10	4	[4001, 4002, 4003, 4004]	100	置换阶梯	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21101.png
11	4	[4101, 4102, 4103, 4104]	150	层叠金丘	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21111.png
12	4	[4201, 4202, 4203, 4204]	150	最终定价	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png
