Id	FightEventId	UnlockSpend	SkillDesc
1001	97210	50	敌人死亡后有25%的概率随机掉落1个信号球
1002	97211	100	敌人死亡后有50%的概率随机掉落1个信号球
1003	97212	200	敌人死亡后有50%的概率随机掉落2个信号球
1004	97213	400	敌人死亡后有50%的概率随机掉落一组信号球
1101	97214	50	造成普攻伤害时，普攻额外伤害加成提高10%，持续10s，最高叠加到100%
1102	97215	100	造成普攻伤害时，普攻额外伤害加成提高20%，持续10s，最高叠加到150%
1103	97216	200	造成普攻伤害时，普攻额外伤害加成提高25%，持续10s，最高叠加到200%
1104	97217	400	造成普攻伤害时，普攻额外伤害加成提高50%，持续10s，最高叠加到300%
1201	97218	50	普攻将获得额外的1必杀能量
1202	97219	100	普攻将获得额外的2必杀能量
1203	97220	200	消球、普攻将获得额外的2必杀能量。
1204	97221	400	消球、普攻将获得额外的3点必杀能量。释放必杀后将返还10%点必杀能量
2001	97222	50	三消伤害提升15%
2002	97223	100	三消伤害提升30%
2003	97224	200	单消、双消都将视为三消，三消伤害提升30%
2004	97225	400	单消、双消都将视为三消，三消伤害提升50%
2101	97226	50	连续进行三次三消后，将触发超算效果，冷却10s
2102	97227	100	连续进行三次三消后，将触发超算效果，冷却8s
2103	97228	200	连续进行两次三消后，将触发超算效果，冷却8s
2104	97229	400	连续进行两次三消后，将触发超算效果，冷却6s
2201	97230	50	触发三消后，将提供等于三消伤害的5%数值的生命恢复
2202	97231	100	触发三消后，将提供等于三消伤害的5%数值的生命恢复，溢出的治疗量将转化为护盾
2203	97232	200	触发三消后，将提供等于三消伤害的8%数值的生命恢复，溢出的治疗量将转化为护盾，玩家拥有该护盾时获得霸体效果
2204	97233	400	触发三消后，将提供等于三消伤害的10%数值的生命恢复，溢出的治疗量将转化为护盾，玩家拥有该护盾时获得霸体效果
3001	97234	50	敌方死亡时有50%的概率自爆，对周围敌人造成最大生命值15%的伤害
3002	97235	100	敌方死亡时有70%的概率自爆，对周围敌人造成最大生命值20%的伤害
3003	97236	200	敌方死亡时必定自爆，对周围敌人造成最大生命值25%的伤害
3004	97237	400	敌方死亡时必定自爆，对周围敌人造成最大生命值35%的伤害
3101	97238	50	敌方死亡时有40%的概率使己方获得25%的伤害加成，效果持续5s，连续获得加成将增加生效时间
3102	97239	100	敌方死亡时有40%的概率使己方获得50%的伤害加成，效果持续5s，连续获得加成将增加生效时间
3103	97240	200	敌方死亡时有50%的概率使己方获得80%的伤害加成，效果持续5s，连续获得加成将增加生效时间
3104	97241	400	敌方死亡时有60%的概率使己方获得100%的伤害加成，效果持续5s，连续获得加成将增加生效时间
3201	97242	50	敌人的总生命值永久下降10%
3202	97243	100	敌人的总生命值永久下降20%
3203	97244	200	敌人的总生命值永久下降30%，同时获得全抗性减弱15%
3204	97245	400	敌人的总生命值永久下降40%，同时获得全抗性减弱40%
4001	97246	50	对敌方造成伤害时，有10%概率对该目标造成相当于该伤害值75%的额外伤害。造伤概率将随着积分上升而上升，当到达12000积分时概率最大，概率最大为30%
4002	97247	100	对敌方造成伤害时，有15%概率对该目标造成相当于该伤害值100%的额外伤害。造伤概率将随着积分上升而上升，当到达12000积分时概率最大，概率最大为35%
4003	97248	200	对敌方造成伤害时，有20%概率对该目标造成相当于该伤害值150%的额外伤害。造伤概率将随着积分上升而上升，当到达12000积分时概率最大，概率最大为40%
4004	97249	400	对敌方造成伤害时，有25%概率对该目标造成相当于该伤害值180%的额外伤害。造伤概率将随着积分上升而上升，当到达12000积分时概率最大，概率最大为50%
4101	97250	50	当加分计数值超过15000时，后续积分将获得1.2倍加成
4102	97251	100	当加分计数值超过12000时，后续积分将获得1.3倍加成
4103	97252	200	当加分计数值超过10000时，后续积分将获得1.4倍加成
4104	97253	400	当加分计数值超过10000时，后续积分将获得1.6倍加成
4201	97254	50	战斗开场10秒内，敌方不会拥有任何增益词条效果
4202	97255	100	战斗开场15秒内，敌方不会拥有任何增益词条效果
4203	97256	200	战斗开场20秒内，敌方不会拥有任何增益词条效果。当加分分值超过35000时，也将去除敌方身上拥有的增益词条效果。
4204	97257	400	战斗开场25秒内，敌方不会拥有任何增益词条效果。当加分分值超过30000时，也将去除敌方身上拥有的增益词条效果。
