Key	Note	Params
StageAchievementUnlockDesc	关卡成就未解锁描述	['？？？']
AchievementProgress	章节成就进度	['<color=#0a82de><size=60>%s</size></color> /%s']
SwitchEffectMainId	切换章节播特效的MainId	['1031']
SwitchChapterEffect	切换章节播特效	['Assets/Product/Ui/Prefab/UiEffect/UiMainLine2Chapter/FxUiMainLine2ChapterHudie215.prefab']
FirstEnterEffectMainId	第一次进章节播特效的MainId	['1031']
FirstEnterPrefab	第一次进章节加载的假章节预置	['Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31A.prefab']
FirstEnterSwitchEffect	第一次进章节假章节切换真章节播特效	['Assets/Product/Ui/Prefab/UiEffect/UiMainLine2Chapter/FxUiMainLine2ChapterHudie215.prefab']
BgPaths1036	1036章的背景图资源	['Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic36B.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPicER03.png', 'Assets/Product/Texture/Image/BgCg/Cg3201_01.jpg', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic22.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic23.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic24.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic25.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic26.png', 'Assets/Product/Texture/Image/UiFubenMainMapTab/MainLineActive17A.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic28.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic29.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic30.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic31.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic32.png', 'Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic33.png']
BgUnlockIndexs1036	1036章的背景图对应关卡Index通关解锁	['0', '1', '1', '3', '4', '4', '5', '5', '6', '6', '8', '9', '10', '13', '13']
BgUnlockCueId1036	1036章的背景图解锁音效	['5825', '1000']
NewbieMainLineLockCondition	新手主线锁定文本显示的condition	['770412']
NewbiePreChapterSkipParams	动态漫跳转传参：索引1固定表示跳主线，索引2表示章节组，索引3表示组内第几个章节	['0', '1', '3']
NewbiePreChapterCGLinkCharacterIds	动态漫关联角色Id	['1021001', '1011002', '1031001']
NewbiePreChapterExStageNameFormat	序章动态漫名称格式	['{0}']
NewbiePreChapterExStageName	序章动态漫入口名称	['合集']
NoBookmarkTips	没有剧情书签时点击提示	['当前未对关卡标记书签，无法使用']
NewbiePreChapterExStageLabels	序章动态漫标签，可配置多个	['动态漫']
NewbiePreChapterExStageImg	序章动态漫入口底图	['Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal06.png']
NewbiePreChapterSkipCondition	参数1:MainLine2ExhibitionChapter.tab的章节Id，参数2:ConditionId，参数3为动态漫对应关卡Id。进入章节前满足条件时打开动态漫跳转界面	['3', '863081', '10010005']
DownloadEntranceRewardTips	下载入口奖励提示	['可领取必要资源下载奖励']
DownloadingEntranceTips	下载入口下载中的提示	['下载中: {0}%']
DownloadEntrancePauseTips	下载入口暂停时的显示	['已暂停下载: {0}%']
DownloadBg	下载界面背景图	['Assets/Product/Texture/Image/UiloginBg/LoginBg.png']
DownloadTipsGroup	下载界面上方提示文本，每个参数对应每一行	['第一章通关后可解锁所有主线剧情内容，可不按线性流程挑战', '第四章及后续主线需要下载必要的主线包，下载可获得<color=#00a1ff>活动研发券*250</color>']
DownloadTotalSizeLabel		['{0}MB']
DownloadProgressLabel	下载界面显示的进度	['{0}%']
DownloadEntranceShowCondition	下载入口显示条件	['1007142']
PanelTaskStoryListBottom	UiMainLine2Task界面不需要显示PanelCourse时，PanelTaskStoryList的Bottom应用的参数	['32']
MessageTypeIcon	新增小关卡图标，索引关联Type	['Assets/Product/Texture/Atlas/Common/CommonGuideFightSanjiao.png', 'Assets/Product/Texture/Atlas/Common/CommonGuideSlide.png']
FaoSkyGardenEntry	空花入口配置，1任务id，2标题，3描述	['99713', '【空中花园】特别邀约', '跨越劫难后，军部准备向所有奋战过的人们颁发勋章。整理装束，以毕业生代表的身份再度踏入法奥斯吧。']
FaoSkyGardenEntryCondition	入口解锁（显示）条件	['1050141']
FaoSkyGardenEntryRewardId	展示奖励内容	['7000234']
