Id	FactorId	Type	Level	Params	Desc	SkillDesc	AffectedSkillIds	NewSkillIds
11000001	11000	3	1	[550]				
11000002	11000	3	2	[770]				
11000003	11000	3	3	[1000]				
11000004	11000	3	4	[1220]				
11000005	11000	3	5	[1440]				
11000006	11000	3	6	[1660]				
11000007	11000	3	7	[1900]				
11000008	11000	3	8	[2110]				
11000009	11000	3	9	[2300]				
11000010	11000	3	10	[2500]				
11000011	11000	3	11	[2700]				
11000012	11000	3	12	[3000]				
11000013	11000	3	13	[3100]				
12001001	12001	3	1	[500]				
12001002	12001	3	2	[1000]				
12001003	12001	3	3	[1500]				
12001004	12001	3	4	[2000]				
12001005	12001	3	5	[2500]				
12001006	12001	3	6	[3000]				
12001007	12001	3	7	[3400]				
12001008	12001	3	8	[3700]				
12001009	12001	3	9	[4000]				
12001010	12001	3	10	[4300]				
12001011	12001	3	11	[4600]				
12001012	12001	3	12	[5000]				
12001013	12001	3	13	[5200]				
11001001	11001	3	1	[60]				
11001002	11001	3	2	[120]				
11001003	11001	3	3	[180]				
11001004	11001	3	4	[225]				
11001005	11001	3	5	[270]				
11001006	11001	3	6	[305]				
11001007	11001	3	7	[340]				
11001008	11001	3	8	[375]				
11001009	11001	3	9	[420]				
11001010	11001	3	10	[455]				
11001011	11001	3	11	[490]				
11001012	11001	3	12	[525]				
11001013	11001	3	13	[560]				
11001014	11001	3	14	[595]				
11001015	11001	3	15	[630]				
11001016	11001	3	16	[690]				
11001017	11001	3	17	[750]				
11001018	11001	3	18	[800]				
11001019	11001	3	19	[825]				
11001020	11001	3	20	[850]				
11001021	11001	3	21	[875]				
11001022	11001	3	22	[900]				
11001023	11001	3	23	[925]				
11001024	11001	3	24	[950]				
11001025	11001	3	25	[975]				
11001026	11001	3	26	[1000]				
11001027	11001	3	27	[1025]				
11001028	11001	3	28	[1050]				
11001029	11001	3	29	[1075]				
11001030	11001	3	30	[1100]				
11001031	11001	3	31	[1150]				
11001032	11001	3	32	[1200]				
11001033	11001	3	33	[1250]				
11001034	11001	3	34	[1300]				
11001035	11001	3	35	[1350]				
11001036	11001	3	36	[1500]				
11001037	11001	3	37	[1550]				
11001038	11001	3	38	[1600]				
11001039	11001	3	39	[1650]				
11005001	11005	3	1	[400]				
11005002	11005	3	2	[600]				
11005003	11005	3	3	[800]				
11005004	11005	3	4	[1000]				
11005005	11005	3	5	[1200]				
11005006	11005	3	6	[1400]				
11005007	11005	3	7	[1600]				
11005008	11005	3	8	[1800]				
11005009	11005	3	9	[2000]				
11005010	11005	3	10	[2200]				
11005011	11005	3	11	[2400]				
11005012	11005	3	12	[2600]				
11005013	11005	3	13	[2800]				
11005014	11005	3	14	[3000]				
11005015	11005	3	15	[3200]				
11005016	11005	3	16	[3400]				
11005017	11005	3	17	[3600]				
11005018	11005	3	18	[3800]				
11005019	11005	3	19	[4000]				
11005020	11005	3	20	[4200]				
11005021	11005	3	21	[4400]				
11005022	11005	3	22	[4600]				
11005023	11005	3	23	[4800]				
11005024	11005	3	24	[5000]				
11007001	11007	3	1	[800]				
11007002	11007	3	2	[1000]				
11007003	11007	3	3	[1200]				
11007004	11007	3	4	[1400]				
11007005	11007	3	5	[1600]				
11007006	11007	3	6	[1800]				
11007007	11007	3	7	[2000]				
11007008	11007	3	8	[2200]				
11007009	11007	3	9	[2400]				
11007010	11007	3	10	[2600]				
11007011	11007	3	11	[2800]				
11007012	11007	3	12	[3000]				
11007013	11007	3	13	[3250]				
11010001	11010	3	1	[2000]				
11010002	11010	3	2	[2200]				
11010003	11010	3	3	[2400]				
11010004	11010	3	4	[2600]				
11010005	11010	3	5	[2800]				
11010006	11010	3	6	[3000]				
11010007	11010	3	7	[3200]				
11010008	11010	3	8	[3400]				
11010009	11010	3	9	[3600]				
11010010	11010	3	10	[3800]				
11010011	11010	3	11	[4000]				
11010012	11010	3	12	[4200]				
11010013	11010	3	13	[4400]				
11014001	11014	3	1	[300]				
11014002	11014	3	2	[600]				
11014003	11014	3	3	[900]				
11014004	11014	3	4	[1200]				
11014005	11014	3	5	[1500]				
11014006	11014	3	6	[1800]				
11014007	11014	3	7	[2000]				
11014008	11014	3	8	[2200]				
11014009	11014	3	9	[2400]				
11014010	11014	3	10	[2600]				
11014011	11014	3	11	[2800]				
11014012	11014	3	12	[3000]				
11014013	11014	3	13	[3200]				
11014014	11014	3	14	[3400]				
11014015	11014	3	15	[3600]				
