Key	Desc	Param
EquipMaxNum	Equipment Storage Limit	['1000']
EquipPresetMaxNum	Maximum number of equipment preset sets players can register	['20']
EquipPresetNameMaxLength	Equipment preset name length limit	['10']
EquipMaxNumForOverflow	Equipment Overflow Limit	['1050']
EquipSlotMaxNum	Max Equipment Slots	['5']
NormalEquipSlotMaxNum	Max Normal Slots	['2']
ExpandEquipSlotMaxNum	Max Expansion Slots	['2']
EquipPresetBeginId	Preset Set IDs start from this value	['1']
TargetingComposeConsumeId	Targeted Synthesis Materials	['97072']
TargetingComposeConsumeCount	Targeted Synthesis Cost	['2000']
TargetingComposeConsumeConditionIds	Targeted Synthesis Trigger Condition	['864002']
TutorialLevelId	Tutorial Stage ID	['9001']
GlobalMatchEnableCondition	全局匹配开启条件	['864006']
GlobalMatchDropGroupId	Global Matchmaking Reward Drops	['1016']
GlobalMatchRewardTimes	Global Matchmaking Daily Reward Drops	['3']
LoserRewardMaxPercent	Maximum reward multiplier upon failure	['80']
LoserEffectBossHpPercent	Boss HP threshold required to earn rewards upon failure	['15']
