Id	Type	Name	ConditionId	VideoConfigIds	ImageUrl	Desc
101	1	Hyperlink Co-Strike		{3: '31001'}	{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage01.png', 2: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage16.png'}	"{1: '- After you cast a <color=#ffdd93>Signature Move</color>, Signature Moves cast by other commandants within a <color=#ffdd93>limited time</color> can trigger <color=#ffdd93>Hyperlink Co-Strike</color>.\\n- Casting Signature Moves provides <color=#ffdd93>bonus Signature Energy</color> to other members. Use this mechanic to trigger Hyperlink Co-Strike more quickly.', 2: ""- Other members' <color=#ffdd93>Signature Energy</color> is displayed beneath their HP bars in the upper-left corner."", 3: '- <color=#ffdd93>Hyperlink Co-Strike</color> can deal massive DMG and <color=#ffdd93>interrupt most enemy</color> moves.'}"
102	1	Ultimate Skill		{2: '31004'}	{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage02.png'}	{1: '- Performing coordinated team actions during battle generates <color=#ffdd93>Ultimate Energy</color>.\\n- Ultimate Energy is a shared team resource. When one segment is full, <color=#ffdd93>tap a character portrait</color> to consume Ultimate Energy and cast an <color=#ffdd93>Ultimate Skill</color>.', 2: '- The entire team shares <color=#ffdd93>Ultimate Energy</color>.\\n- Each member can only cast their <color=#ffdd93>Ultimate Skill</color> <color=#ffdd93>once</color> per battle. Use them strategically based on the combat situation.'}
103	1	Enemy Warnings			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage03.png', 2: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage04.png'}	{1: '- Certain enemy attacks display warning indicators before striking.\\n- <color=#efcb74>Block Warning</color>: Using <color=#ffdd93>Block</color> or <color=#ffdd93>Counter</color> can trigger <color=#ffdd93>Flash Block</color>. The attack can also be avoided by dodging.\\n- <color=#74cbef>Convergence Warning</color>: Using <color=#74cbef>Block</color> or <color=#74cbef>Counter</color> can trigger <color=#74cbef>Flash Block</color>. Triggering Flash Block initiates <color=#74cbef>Convergence Counter</color>. The attack can also be avoided by dodging.', 2: '- <color=#de4650>Penetration Warning</color>: Flash Block is ineffective. Blocking triggers DMG Reduction. Can be avoided by dodging.\\n- <color=#9978d7>Guaranteed Hit Warning</color>: Flash Block is ineffective. Blocking triggers DMG Reduction. <color=#9978d7>Cannot be avoided by dodging</color>.'}
104	1	Flash Block		{1: '31007'}		{1: '- When members <color=#ffdd93>block</color> or use <color=#ffdd93>melee attacks to counter</color> certain enemy moves, triggers <color=#ffdd93>Flash Block</color>, reducing incoming DMG and interrupting enemy actions.'}
105	1	Convergence Counter		{1: '31002', 2: '31003'}		{1: '- Certain enemy moves display <color=#74cbef>blue warnings</color>. Triggering <color=#74cbef>Flash Block</color> during these warnings initiates <color=#74cbef>Convergence Counter</color>.\\n- When <color=#ffdd93>Tank member</color> triggers <color=#ffdd93>Flash Block</color>, enters <color=#ffdd93>Duel State</color>.\\n- Duel State <color=#ffdd93>extends</color> the duration of Convergence Counter. Continuously tap the <color=#ffdd93>QTE button</color> to deal multiple instances of DMG.', 2: '- When a member enters <color=#ffdd93>Convergence Counter</color>, the <color=#ffdd93>first member to tap the QTE button</color> will assist teammates in <color=#ffdd93>interrupting enemy attacks</color>.\\n- The <color=#ffdd93>second member to tap the QTE button</color> will launch a <color=#ffdd93>secondary follow-up attack</color> against the enemy.'}
106	1	Fury & Wrath Form			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage05.png'}	{1: '- Enemies continuously gain <color=#ffdd93>Fury</color> when taking DMG. At full Fury, they enter <color=#ffdd93>Wrath Form</color>.\\n- Enemies in Wrath Form attack more ferociously. During this time, <color=#ffdd93>attacking</color> enemies reduces their <color=#ffdd93>Fury</color>. When their Fury is cleared, enemies enter <color=#ffdd93>Imbalanced Disruption</color> state.'}
107	1	Imbalanced Disruption & Inverse Matrix		{1: '31005'}		{1: '- Enemies in <color=#ffdd93>Wrath Form</color> enter <color=#ffdd93>Imbalanced Disruption</color> when their <color=#ffdd93>Fury</color> is depleted.\\n- Enemies cannot act for a certain duration in this state.\\n- All members simultaneously enter <color=#ffdd93>Inverse Matrix</color> state, gaining a <color=#ffdd93>time-stop effect</color> for a certain duration.'}
108	1	Stagger & Follow-Up Skills		{2: '31006'}	{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage06.png', 2: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage06.png'}	{1: '- Dealing DMG reduces enemy <color=#ffdd93>Balance</color>.\\n- When Balance is depleted, enemies enter <color=#ffdd93>Imbalanced State</color> and cannot act for a short time.\\n- <color=#ffdd93>While in Imbalanced State</color>, Balance slowly recovers and <color=#ffdd93>cannot be reduced for a short time</color>.', 2: '- When an enemy enters the <color=#ffdd93>Imbalanced State</color>, nearby members can <color=#ffdd93>tap the QTE button</color> to launch <color=#ffdd93>Follow-Up Skills</color>.'}
109	1	Enemy Aggro			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage07.png', 2: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage07.png'}	{1: '- Attacking enemies generates <color=#ffdd93>Aggro</color>. <color=#ffdd93>Tank</color> members generate Aggro faster.\\n- Enemies prioritize targeting the unit with the highest Aggro. Some <color=#ffdd93>special moves</color> can forcibly change the current <color=#ffdd93>Aggro target</color>.', 2: '- Targeted members display an <color=#ffdd93>Aggro marker</color> on their portrait in the upper-left corner.\\n- When an enemy switches its <color=#ffdd93>Aggro target</color>, a brief <color=#ffdd93>red line</color> appears on the new target.'}
110	1	Fall Reboot			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage08.png'}	{1: '- When members reach <color=#ffdd93>0 HP</color>, they enter Maintenance State and cannot act.\\n- After a certain duration, tap <color=#ffdd93>Reboot</color> to act again.\\n- Standing near <color=#ffdd93>teammates under maintenance</color> helps them reboot faster.'}
