Id	PreId	IsCommonForShow	CostPoint	EventId	Icon	Intro	Description	Title
1			1	20401	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon06.png	这就是你的备用路线！	增强推演失败时，不遭遇恶意事件的概率	应急预案
2	1	1	2	20402	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon13.png	空中花园后勤部永远为奋战在前线的士兵提供最大限度的支援。	完成【检定事件】再获得50【战地配额】	额外补给
3	2		3	20403	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon18.png	无论何时，都不能疏于装备整理。	功能道具的持有上限增加1格	辎重整备
4	3		4	20404	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon04.png	机体本身的功能偏向会影响链接者的作战推演能力，该模块为想要增强机动能力的链接者准备。	链接者作战能力永久增强2点	机动增强
5	4		5	20405	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon13.png	有时候我们可能确实需要那么一点运气。	【随机事件】出现【奖励】的概率增加	幸运儿
6	2	1	3	20406	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon16.png	斗争并不仅仅存在于硝烟弥漫的战场，友好的谈判也许能让你获得更多的利益。	商店购买道具享受9折优惠	谈判专家
7	6		4	20407	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon06.png	机体本身的功能偏向会影响链接者的感知推演能力，该模块为想要增强感知的链接者准备。	链接者感知能力永久增强2点	知觉理论
8	2	1	3	20408	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon17.png	“支援部队真的很努力，他们应该获得更多嘉奖。”“……这样会不会太明显了？”	商店每日贩卖的道具上限增加1个	支援协力
9	8		4	20409	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon05.png	机体本身的功能偏向会影响链接者的运算推演能力，该模块为想要增强算力的链接者准备。	链接者运算能力永久增强2点	算力调度
10	9	1	5	20410	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon11.png	优化信道，提高信号传输速度。若出现信号干扰的情况，请注意及时调整战术。	实体作战时，每击败1个敌人额外获得1个随机信号球	带宽增强
