Id	PreId	IsCommonForShow	CostPoint	EventId	Icon	Intro	Description	Title
1			1	20201	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png	机体本身的功能偏向会影响链接者的感知推演能力，该模块为想要增强感知的链接者准备。	链接者感知能力永久增强1点	知觉理论
2	1		2	20202	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png	机体本身的功能偏向会影响链接者的运算推演能力，该模块为想要增强算力的链接者准备。	链接者运算能力永久增强1点	算力调度
3	2		3	20203	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者运算能力获得增幅，增加投点出现最大值的概率	精准推演-运算
4	2	1	3	20204	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon15.png	不给敌人留下一针一线。	完成【战斗事件】再获得50【战地配额】	资源回收
5	4		4	20205	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png	机体本身的功能偏向会影响链接者的感知推演能力，该模块为想要增强感知的链接者准备。	链接者感知能力永久增强1点	知觉理论
6	1		2	20206	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者感知能力获得增幅，增加投点出现最大值的概率	精准推演-感知
7	6	1	3	20207	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon14.png	优秀的指挥官会在重复的战斗中汲取经验，优化战略，精准指挥。	完成【战斗事件】将获得20【探索经验】	战略优化
8	7		4	20208	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png	机体本身的功能偏向会影响链接者的作战推演能力，该模块为想要增强机动能力的链接者准备。	链接者作战能力永久增强1点	机动增强
9	8		5	20209	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者作战能力获得增幅，增加投点出现最大值的概率	精准推演-作战
10	9		5	20210	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png	机体本身的功能偏向会影响链接者的感知推演能力，该模块为想要增强感知的链接者准备。	链接者感知能力永久增强1点	知觉理论
