Id	PreId	IsCommonForShow	CostPoint	EventId	Icon	Intro	Description	Title
1			1	20301	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png	机体本身的功能偏向会影响链接者的作战推演能力，该模块为想要增强机动能力的链接者准备。	链接者作战能力永久增强1点	机动增强
2	1		2	20302	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png	机体本身的功能偏向会影响链接者的运算推演能力，该模块为想要增强算力的链接者准备。	链接者运算能力永久增强1点	算力调度
3	2		3	20303	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者运算能力获得增幅，增加投点出现最大值的概率	精准推演-运算
4	2		3	20304	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者作战能力获得增幅，增加投点出现最大值的概率	精准推演-作战
5	4		4	20305	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png	机体本身的功能偏向会影响链接者的作战推演能力，该模块为想要增强机动能力的链接者准备。	链接者作战能力永久增强1点	机动增强
6	5	1	5	20306	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon08.png	对目标的弱点实施针对性对策，事半功倍。	实体作战时，对敌伤害提升15%	弱点追踪
7	1		2	20307	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png	机体本身的功能偏向会影响链接者的感知推演能力，该模块为想要增强感知的链接者准备。	链接者感知能力永久增强1点	知觉理论
8	7		3	20308	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者感知能力获得增幅，增加投点出现最大值的概率	精准推演-感知
9	7		3	20309	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png	机体本身的功能偏向会影响链接者的作战推演能力，该模块为想要增强机动能力的链接者准备。	链接者作战能力永久增强1点	机动增强
10	9	1	4	20310	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon12.png	相信你的同伴，他们时刻准备为你使用力量，毫无保留。	实体作战时，QTE冷却时间减少3s	连携增强
