Id	PreId	IsCommonForShow	CostPoint	EventId	Icon	Intro	Description	Title
1			1	20101	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png	机体本身的功能偏向会影响链接者的运算推演能力，该模块为想要增强算力的链接者准备。	链接者运算能力永久增强1点	算力调度
2	1		2	20102	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png	机体本身的功能偏向会影响链接者的作战推演能力，该模块为想要增强机动能力的链接者准备。	链接者作战能力永久增强1点	机动增强
3	2		3	20103	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者作战能力获得增幅，增加投点出现最大值的概率	精准推演-作战
4	3		4	20104	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png	机体本身的功能偏向会影响链接者的运算推演能力，该模块为想要增强算力的链接者准备。	链接者运算能力永久增强1点	算力调度
5	3	1	4	20105	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon09.png	躲避是为了更好的进攻。	实体作战时，闪避值恢复速度提升50%	超算增强
6	1		2	20106	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者运算能力获得增幅，增加投点出现最大值的概率	精准推演-运算
7	6		3	20107	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png	机体本身的功能偏向会影响链接者的感知推演能力，该模块为想要增强感知的链接者准备。	链接者感知能力永久增强1点	知觉理论
8	7		4	20108	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png	机体本身的功能偏向会影响链接者的运算推演能力，该模块为想要增强算力的链接者准备。	链接者运算能力永久增强1点	算力调度
9	7		4	20109	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png	精准推演指令。	链接者感知能力获得增幅，增加投点出现最大值的概率	精准推演-感知
10	9	1	5	20110	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon09.png	已授权开放超荷承载模式，可提高构造体作战能力，但请注意不要超过最大临界值。	实体作战时，必杀技伤害增加40%	超荷承载
