Id	Name	SecondName	SeasonName	PrefixName	BgIcon	TabImage	RewardType	HelpId	RewardParams	StageIds	RandomStageId
101	单人	技巧挑战		STN	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg02.png	Assets/Product/Texture/Image/UiSummerEpisode/tab02.png	2	[10034, 10035]	[10101, 10102, 10103]	[30031101, 30031201]	
102	多人	联机对战		OLE	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg03.png	Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	1	[10036, 10037]	[11801, 11802, 11803]	[30031301, 30031001]	
103	多人	联机对战		OLE	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg.png	Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	1	[10053]	[11804, 11805, 11806, 11807]	[30031406]	
104	多人	联机对战		OLE	Assets/Product/Texture/Image/UiSummerEpisode/UiSummerEpisodeBg.png	Assets/Product/Texture/Image/UiSummerEpisode/tab03.png	1	[10053]	[11808, 11809, 11810]	[30031501, 30031502, 30031503, 30031504, 30031505]	
105	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10100]		[30031506, 30031507, 30031508]	
106	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10120]		[30065001, 30065002]	
107	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10131]		[30031516, 30031517]	1
108	多人	联机对战	乱斗乐园			Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10141]		[30061432]	
109	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10146]		[30031601, 30031600, 30031602]	2
110	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10141]		[30061433]	
111	多人	联机对战						[10170]		[30061435]	
112	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10120]		[30065003]	
113	多人	联机对战				Assets/Product/Texture/Image/UiSummerEpisode/tab03.png		[10146]		[30031732, 30031733, 30031734, 30031735, 30031736]	
