Id	TimeId	Type	Name	Icon	ChapterIds	EliminateGameId	PointItemId	PointRewardId	TaskGroupId	InitSkillId
1		1	夏日大作战	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner16.png	[101, 102]	1				
2		1	温标失衡	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner16.png	[103]		62101	[10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308]		
3		2	盛夏纪念日	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner15.png	[104]					
4		3	舞乐晨星	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner47.png	[105]				[83, 84]	
5		4	冰雪感蟹祭	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner55.png	[106]				[99, 100]	
6		5	同祈迎春	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner62.png	[107]				[105, 106]	
7		6	魔方嘉年华	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner73.png	[108]				[133, 134]	
8		2	盛夏回响纪	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner80.png	[109]				[147, 148]	
9		7	魔方挑战赛	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner73.png	[110]				[164, 165]	
10		5	禧裹团圆	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner95.png	[111]				[0, 191]	1
11		4	沙滩大作战	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner55.png	[112]				[0, 232]	
12		2	盛夏洄影纪	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner80.png	[113]				[248, 249]	
