Id	MovieId	Name	TalkText	Action	BubbleControllerId	PlanetCharacterId
1	10101	21号	飞船……被毁掉了。	Refuse01		1
2	10101	21号	这里是什么地方？一片奇怪的紫色……是不安的味道。		101	1
3	10101	21号	队长和诺克提都不见了。			1
4	10101	21号	要快点想办法离开这里，找到21号的宝物。	Click01		1
5	10102	21号	……队长？	Click01		1
6	10102	薇拉	动作太慢了。	Refuse01		2
7	10102	薇拉	看来，你还没有搞清楚状况？			2
8	10102	薇拉	可没有空让你在这里磨磨蹭蹭的。			2
9	10103	21号	队长……			1
10	10103	薇拉	不管你想干什么，都别站在这里浪费时间了。	Click01		2
11	10103	薇拉	我不会给你任何命令，一切都由你自己决定怎么做。			2
12	10103	薇拉	这可是你的故事。			2
13	10103	21号	明白了，这次，就由我来做头领。	Gift01		1
14	10202	诺克提	动作可真慢啊，我都要等睡着了。			3
15	10202	诺克提	啧，为什么我没有一个更酷炫的身份？	Show04		3
16	10202	诺克提	但无所谓，是时候大杀四方了！			3
17	10202	21号	首先，21号是头领，诺克提要加入21号的队伍，听从指示。	No01		1
18	10202	诺克提	凭什么？！要想让我加入，总得表示一下诚意吧？			3
19	10202	诺克提	放马过来吧！	Show04		3
20	10203	21号	诺克提，太弱了。			1
21	10203	诺克提	得了吧，本大爷这次放的水都可以淹没整个星球了。	Show05		3
22	10203	21号	唔嗯，打架之后成为同伴，21号看到过这样的故事。			1
23	10203	21号	然后，还要在夕阳下对拳，但如果对象是诺克提，还是算了。	Talk01		1
24	10203	诺克提	哈？！你是不是刚才没打够？来来来，我们继续！	Ready01		3
25	10203	21号	21号很理智，知道轻重缓急，该出发了。	No01		1
26	10203	诺克提	喂！	Show05	102	3
27	10302	21号	……是敌人！？			1
28	10302	苍白幻影	你们……不应该来这里。	No01		4
29	10302	21号	星球上的怪物……	Click01	107	1
30	10302	苍白幻影	不论是谁…任何来到这里的，都应该被消灭。			4
31	10302	21号	就算是幻影，也会被21号的爪子撕碎。	Click01		1
32	10303	21号	21号，不会再因为这些记忆感到迷茫了。			1
33	10303	苍白幻影	……是吗。			4
34	10303	苍白幻影	这里没有你想要找的东西，这颗星球走上了错误的道路，纠正它是我的责任。	No01		4
35	10303	苍白幻影	作为你战胜我的嘉奖，仅此一次，我可以送你们离开。			4
36	10303	21号	那你呢？	Click01		1
37	10303		幻影没有再说话。			4
38	10303	21号	……21号，会继续前进。	Talk01		1
39	20101		——小狼来到的第二个星球，这里终年覆盖着白色的雪和蓝色的冰川，一望无际，平静而寒冷。			1
40	20101	21号	好冷……			1
41	20101	21号	这里会有宝物吗？	Lovesickness01		1
42	20102	白色突击鹰	呼啊……有什么事吗？	Tired01	101	5
43	20102	21号	我们在找宝藏。	Click01		1
44	20102	白色突击鹰	这里没有那种东西。			5
45	20102	21号	那21号去前面找。			1
46	20102	白色突击鹰	抱歉……不管你们想要做什么，我都不能让你们通过这里，前面很危险。	Talk01		5
47	20102	白色突击鹰	是想在寒冷的雪原里被冻硬，被游荡的星际海盗杀死，还是就此折返，待在安全的地方？			5
48	20102	21号	这里不是21号的目的地，要不要前进，21号决定。	No01	102	1
49	20102	21号	我，不会退缩。			1
50	20103	21号	……吼！！	Refuse01	107	1
51	20103	白色突击鹰	唔，差不多了，你们过去吧……			5
52	20103	21号	为什么，不继续战斗？	Click01	101	1
53	20103	白色突击鹰	呼啊……因为已经没有必要继续了。			5
54	20103	白色突击鹰	你不会惧怕前面的危险，我也没有理由再拦你。			5
55	20103	白色突击鹰	但这个星球上除了冰之外什么都没有，应该没有你要的东西，如果你还想继续前进，就去找雪原上的独角兽吧。	Talk01		5
56	20103	白色突击鹰	她会告诉你们该怎么做。			5
57	20103	白色突击鹰	消耗了体力……我要继续休息了。	Tired01		5
58	20202	红色灰鸦	宝物……究竟在哪……			6
59	20202	21号	红色的……灰鸦？她刚刚提到了宝物。			1
60	20202	21号	听说，乌鸦会把自己收集到的宝物偷偷藏起来……	Talk01		1
61	20202	红色灰鸦	什么人？！	Click01		6
62	20203	红色灰鸦	……我想，是你误会了。			6
63	20203	红色灰鸦	我的宝物……是我的同伴。像我这样的灰鸦还有两只，我们共同守护着一颗很亮的星星。	Talk01		6
64	20203	红色灰鸦	但因为一些意外，我和他们走散了，我一直在找他们。			6
65	20203	红色灰鸦	请收下这个。	Scratch01		6
66	20203	红色灰鸦	如果你遇到了我的同类，请记得帮我把这个交给他们。	Talk01		6
67	20203	21号	21号知道了。	Click01		1
68	20203	红色灰鸦	至于你要找的独角兽，她就在离这里不远的地方。			6
69	20203	红色灰鸦	那么，祝你也能找到自己寻找的东西。	Talk01		6
70	20302		向威风凛凛的独角兽说明了来意。			1
71	20302	紫色独角兽	你想要离开这里的方法？	Talk01		7
72	20302	紫色独角兽	在这之前，先让我看看你的实力吧。			7
73	20302	21号	实力？	Click01	101	1
74	20302	紫色独角兽	我是这个星球的守门人，如果无法战胜我，就说明你没有能够离开这个星球的能力。	Talk01		7
75	20302	21号	21号，会证明！	Talk01		1
76	20303	紫色独角兽	……你合格了。			7
77	20303	紫色独角兽	既然如此，我会依照约定，帮助你离开这里。	Talk01		7
78	20303	21号	这里也没有21号要找的宝物……	Stand03		1
79	20303	紫色独角兽	去离这里最近的星球吧，那里的领主里有一位无所不能的商人，或许会有你想要寻找的东西。	Talk01		7
80	20303	21号	既然这里什么都没有，为什么你不离开？	Click01		1
81	20303	紫色独角兽	因为我还有同伴在这里，我和他们有过约定，对我来说……这才是最珍贵的宝物。	Talk01		7
