Key	Comment	Values
CoinItemIds	货币奖励Id	['97045']
ShowRewards	展示奖励Id	['50005', '102', '11000196']
LoadingTips	加载提示	['进入战斗后，将<color=#ffad27>随机分配</color>对局阵营，完成阵营目标即可胜利！', '<color=#ffad27>猫猫阵营</color>：使用攻击和扫描，寻找及抓捕躲藏在场景内的鼠鼠玩家', '<color=#ffad27>鼠鼠阵营</color>：通过“变身”伪装在场景中，躲避猫猫玩家的追击']
ShowRewardTime	奖励展示时间	['3']
InvitedUnlockedLevel	邀请等级限制	['40']
ShopTextNotBuyColor	商店不可购买颜色	['C64141FF']
ShopTextCanBuyColor	商店可购买颜色	['34AFF8FF']
LoadingTipsScrollingTime	加载循环时间	['3']
CampName	阵营名称	['猫猫阵营', '鼠鼠阵营']
SettleTitle	结算标题文本	['胜利', '失败']
SettleDataTitle	数据统计界面淘汰数量文本	['淘汰玩家', '存活时间']
CheatTip	异常提示	['检测到异常']
LoadingMouseIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerLoading02.png']
LoadingCatIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerLoading01.png']
DiscussionWinIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerDiscussionWin.png']
DiscussionNormalIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerDiscussionNormal.png']
DiscussionChoiceIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerDiscussionChoice.png']
BpMainRewardIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGiftV4P2Bg07.png']
BpNormalRewardIcon		['Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGiftV4P2Bg04.png']
SkillCdDes		['冷却时间：%s秒']
SkillUseTimesDes		['使用上限：%s次']
SkillChangeSuccessTips		['技能已替换']
CantChangeSkillTip		['匹配中，无法修改技能']
DanmakuPeriod	发射间隔(ms)	['1000']
DanmakuSpeed	飞行速度	['150']
DanmakuRailNum	轨道数量	['6']
DanmakuDesc		['%s为<color=#F7A54C>【%s】</color>提供了<color=#F7A54C>%s</color>支持度']
