Id	Name	Path	EntityId
281474979463237	Building_L0_X69_Y42		45
281474980380745	Building_L0_X73_Y56		46
281474981101631	Building_L0_X63_Y67		47
281474981560388	Building_L0_X68_Y74		48
281474981625924	Building_L0_X68_Y75		49
281474981560389	Building_L0_X69_Y74		50
281474981494852	Building_L0_X68_Y73		51
281474981625925	Building_L0_X69_Y75		52
281474981625923	Building_L0_X67_Y75		53
281474981560387	Building_L0_X67_Y74		54
281474981494853	Building_L0_X69_Y73		55
281474981232709	Building_L0_X69_Y69		56
281474981232707	Building_L0_X67_Y69		57
281474981167171	Building_L0_X67_Y68		58
281474981167173	Building_L0_X69_Y68		59
281474981167172	Building_L0_X68_Y68		60
281474981298243	Building_L0_X67_Y70		61
281474981232708	Building_L0_X68_Y69		62
281474981298244	Building_L0_X68_Y70		63
281474981298245	Building_L0_X69_Y70		64
281474981232706	Building_L0_X66_Y69		65
281474981298242	Building_L0_X66_Y70		66
281474981167170	Building_L0_X66_Y68		67
281474981101634	Building_L0_X66_Y67		68
281474981101633	Building_L0_X65_Y67		69
281474981101635	Building_L0_X67_Y67		70
281474981363778	Building_L0_X66_Y71		71
281474981363779	Building_L0_X67_Y71		72
281474981232705	Building_L0_X65_Y69		73
281474981298241	Building_L0_X65_Y70		74
281505041481728	Building_L7_X0_Y0		75
