Id	Name	Path	EntityId
5629499543126149	TrafficHub_Small_L0_X133_Y136		272
5629499543126148	TrafficHub_Small_L0_X132_Y136		273
5629499543126151	TrafficHub_Small_L0_X135_Y136		274
5629499543257223	TrafficHub_Small_L0_X135_Y138		275
5629499543191684	TrafficHub_Small_L0_X132_Y137		276
5629499543257222	TrafficHub_Small_L0_X134_Y138		277
5629499543191687	TrafficHub_Small_L0_X135_Y137		278
5629499543191686	TrafficHub_Small_L0_X134_Y137		279
5629499543126150	TrafficHub_Small_L0_X134_Y136		280
5629499543191685	TrafficHub_Small_L0_X133_Y137		281
5629499543453830	TrafficHub_Small_L0_X134_Y141		282
5629499543453828	TrafficHub_Small_L0_X132_Y141		283
5629499543388293	TrafficHub_Small_L0_X133_Y140		284
5629499543257220	TrafficHub_Small_L0_X132_Y138		285
5629499543388294	TrafficHub_Small_L0_X134_Y140		286
5629499543322757	TrafficHub_Small_L0_X133_Y139		287
5629499543126147	TrafficHub_Small_L0_X131_Y136		288
5629499543257221	TrafficHub_Small_L0_X133_Y138		289
5629499543388292	TrafficHub_Small_L0_X132_Y140		290
5629499543322758	TrafficHub_Small_L0_X134_Y139		291
5629499542601856	TrafficHub_Small_L0_X128_Y128		292
5629503833636930	TrafficHub_Small_L1_X66_Y68		293
5629503833702466	TrafficHub_Small_L1_X66_Y69		294
5629503833702467	TrafficHub_Small_L1_X67_Y69		295
5629503833636931	TrafficHub_Small_L1_X67_Y68		296
5629503833833539	TrafficHub_Small_L1_X67_Y71		297
5629503833833538	TrafficHub_Small_L1_X66_Y71		298
