Id	RegionId	ActivityId	OpenTime	Difficulty	StageLibId	TotalSupplyEnergyLevelLimit	EffectLibId	RegionName	SmallIcon	SecondaryRegionBackground	SecondaryRegionIndex	TaskGroupId
1	1	10		1	401		1	暗蚀发生仪	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgShadow.png	5	17
2	2	10	172800	1	402		2	寒霜冷却池	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgIce.png	4	17
3	3	10	345600	1	403		3	燃炎反应堆	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgFire.png	2	17
4	4	10	604800	1	4001	3	1	中心枢纽				17
5	1	10		2	407		1	暗蚀发生仪	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgShadow.png	5	19
6	2	10	172800	2	408		2	寒霜冷却池	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgIce.png	4	19
7	3	10	345600	2	409		3	燃炎反应堆	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgFire.png	2	19
8	4	10	604800	2	4002	3	1	中心枢纽				19
9	1	11		1	404		1	超电转换炉	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgThunder.png	5	18
10	2	11	172800	1	405		2	动力实验室	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgPhysical.png	4	18
11	3	11	345600	1	406		3	暗蚀发生仪	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgShadow.png	2	18
12	4	11	604800	1	4011	3	1	中心枢纽				18
13	1	11		2	410		1	超电转换炉	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgThunder.png	5	20
14	2	11	172800	2	411		2	动力实验室	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgPhysical.png	4	20
15	3	11	345600	2	412		3	暗蚀发生仪	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBgShadow.png	2	20
16	4	11	604800	2	4012	3	1	中心枢纽				20
