Id	StageLibId	StageId	GridIndex	GridName	GridIcon	SupplyEnergyLevelReward	IsScoreStage	IsLockCharacterStage	MutexLockCharacter	AffixIds	Tips	Efficiency
1	401	30062357	1	DG-00					True		['本区域暂无环境效果']	['独域机制教学关卡']
2	401	30062429	2	DG-01		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
3	401	30062430	3	DG-02		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
4	401	30062431	4	DG-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnShadow.png	1		True		[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
5	402	30062432	1	FC-01		1				[761193]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%冰属性抗性</color>']	['<color=#0F70BC>独域机体</color>攻击被<color=#0F70BC>自身冻结</color>的目标时', '<color=#0F70BC>终结槽削减效率提高200%</color>(闪袭与拼刀无加成)']
6	402	30062433	2	FC-02		1				[761193]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%冰属性抗性</color>']	['<color=#0F70BC>独域机体</color>攻击被<color=#0F70BC>自身冻结</color>的目标时', '<color=#0F70BC>终结槽削减效率提高200%</color>(闪袭与拼刀无加成)']
7	402	30062434	3	FC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnIce.png	1		True		[761193]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%冰属性抗性</color>']	['<color=#0F70BC>独域机体</color>攻击被<color=#0F70BC>自身冻结</color>的目标时', '<color=#0F70BC>终结槽削减效率提高200%</color>(闪袭与拼刀无加成)']
8	403	30062435	1	FR-01		1				[761191]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%火属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次同色信号球</color>后，<color=#0F70BC>10秒内</color>', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
9	403	30062436	2	FR-02		1				[761191]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%火属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次同色信号球</color>后，<color=#0F70BC>10秒内</color>', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
10	403	30062437	3	FR-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnfire.png	1		True		[761191]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%火属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次同色信号球</color>后，<color=#0F70BC>10秒内</color>', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
