Id	Desc	DefaultIcon	ColorIcon
1	起点	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4StartGridBg02.png	
2	精英怪	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon01.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed01.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello01.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue01.png']
3	区域首领	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg02.png']
4	最终boss	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png']
5	宝箱	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon02.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed02.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello02.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue02.png']
6	普通事件	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon03.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed03.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello03.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue03.png']
7	特殊事件	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon04.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed04.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello04.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue04.png']
8	遗迹	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon05.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed05.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello05.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue05.png']
9	商店	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon06.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed06.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello06.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue06.png']
10	障碍	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon07.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed07.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello07.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue07.png']
11	普通怪	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon12.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed12.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello12.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue12.png']
12	黄金城+100	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon14.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed14.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello14.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue14.png']
13	黄金城-100	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon15.png	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconRed15.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconYello15.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIconBlue15.png']
