Key	Note	Params
HelpKey	帮助Key	['Theatre4']
CameraDistanceRange	相机缩放距离区域	['50', '200']
CameraMoveSpeedRange	相机移动速度区域	['3', '9', '1.5', '5']
CameraDragMaxRange	相机拖拽最大范围-原点是全图中心	['425', '375']
CameraDragMinRange	相机拖拽最小范围-原点是全图中心	['400', '350']
CameraZoomSpeed	相机缩放速度(千分比)	['100', '90000']
CameraDefaultDistance	相机默认距离	['70']
ClickGridLensFocusOffset	点击格子时镜头聚焦偏移 参数1是X轴的偏移 参数2是Y轴的偏移	['7', '0']
MapFirstFloorRange	地图1层的距离范围-参数2=相机最远距离	['120', '200']
MapSecondFloorRange	地图2层的距离范围-参数1=相机最近距离	['50', '120']
ClickGridLensFocusTime	点击格子时镜头聚焦时长（ms）	['300']
RecoverGridLensFocusTime	恢复格子镜头聚焦时长（ms）	['500']
IsOpenGridFocusRecover	是否开启镜头聚焦恢复 1开启，0不开启	['1']
LocationBtnFocusToMapTime	点击定位按钮镜头聚焦时长（ms）	['500']
NewAreaFocusToMapBigCameraTime	新区域聚焦到大镜头时长（ms）	['1000']
NewAreaFocusToMapBaseCameraTime	新区域聚焦到基础镜头时长（ms）	['500']
NewAreaFocusCueId	新区域聚焦音频Id	['4840']
PopupNewAreaShowTime	新区域弹框显示时长（ms）	['1500']
CountDownIcon	BOSS倒计时图标	['Assets/Product/Texture/Atlas/UiTheatre4/UiTheatre4BossGridBg04.png']
CountDownDesc	BOSS倒计时描述	['{0}天后进攻', '<color=#FD1414>即将进攻</color>']
DisableCountDownIcon	自毁倒计时图标	['Assets/Product/Texture/Atlas/UiTheatre4/UiTheatre4BossGridBg04.png']
DisableCountDownDesc	自毁倒计时描述	['{0}天后坠毁', '<color=#FD1414>即将自毁</color>']
TimelineDays	时间轴显示的天数	['4']
ArchieveTypeText	图鉴藏品分栏	['金色图纸', '紫色图纸', '蓝色图纸', '信物']
FateExclamationMarkIcon	时间轴感叹号图标	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEvent.png']
ShopItemCostColor	商店商品成本颜色	['D0DFE7', 'FF001F']
SettlementDataContent	结算数据文本	['通关地区', '发展指数', '探索区域', '结局倍率', '奖励倍率', '三星奖励']
EntryProgressDesc	入口BP描述	['当前等级：%s/%s']
StartGridName	起点格子名称	['驻扎点']
StartGridDesc	起点格子描述	['每持有{0}银币\\n每日结算时获得{1}银币\\n<color=#A0522D>当前利息：{2}</color>\\n<color=#A0522D>利息上限：{3}</color>']
BpRewardName	BP按钮名称	['考核进度', '任务奖励']
InGameOpenSkillTip	游戏中打开天赋树提示	['游戏中无法激活天赋']
HandBookTagText	藏品界面标签文本	['图纸列册', '后勤支援', '地图总览']
DiscoverGridColorBg	发现状态格子背景颜色	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridBgRed.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridBgYellow.png', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridBgBlue.png']
EmptyGridProcessedName	空格子已处理状态的名称	['已完成']
GameBossInfoTips	游戏主界面Boss繁荣度提示	['还需%d发展指数', '要求达成']
HurdleGridName	障碍格子名称	['废墟']
ColorResourceAnimTime	颜色资源动画时长(ms)	['1500']
ProsperityAnimTime	繁荣度动画时长(ms)	['1000']
GeniusLevelIcon	天赋等级图标	['Assets/Product/Texture/Atlas/UiTheatre4/ImgGeniusIconLv.png', 'Assets/Product/Texture/Atlas/UiTheatre4/ImgGeniusIconLv2.png', 'Assets/Product/Texture/Atlas/UiTheatre4/ImgGeniusIconLv3.png']
SkillActiveText	天赋激活按钮描述	['激活', '未解锁', '已激活']
TimelineAnimTime	时间轴移动时长（ms）	['500']
GuideActiveMapId	触发引导的MapId	['11002', '11003']
ShopSureText	商店确认按钮文本	['离 开', '购 买']
BtnClickCoolingTime	按钮点击冷却时间(ms)	['500']
FirstEntryStoryId	首次剧情	['RG00801BA']
NotFoundItemAndGeniusDesc	藏品和天赋未发现描述文本	['暂未发现']
BossAttackDrainLifeTip	Boss攻击扣血提示	['驻扎点<color=#FF9519>受到攻击</color>防御值-1，请尽快清理首领']
RestartGoldName	重启消耗货币名称	['银币']
ResourceRollingNumberTime	颜色资源滚动时长(ms)	['600']
LevelRollingNumberTime	颜色等级滚动时长(ms)	['600']
ProsperityRollingNumberTime	繁荣度滚动时长(ms)	['600']
AssetNotEnoughTextColor	探索消耗不足时文本颜色	['D0DFE7', 'FF676B']
BuildPointDailyAdd	建造点每日提示	['每日+{0}']
BossUnknowIcon	boss未解锁时左上角显示图标	['Assets/Product/Texture/Image/UiTheatre4/UiTheatre4BossGridBg05.png']
BossUnknowName	boss未解锁时左上角显示名称	['???']
BossUnknowProsperity	boss未解锁时左上角显示繁荣度	['???']
ItemRepeatLimitTips	藏品重复获取提示	['该图纸不可重复获取']
TechItemCountUnEnough	科技树科技点不足提示	['补给券不足']
BpFullLevelTip	Bp等级满提示	['达到等级上限']
BuildPointEffectShowValue	建造点特效显示值（大于等于配置时显示）	['10']
AttackPopupTitle	进攻预警标题	['提示']
AttackPopupDesc	进攻预警描述	['驻扎点即将遭受攻击!']
AttackPopupHpDesc	进攻预警血量描述	['当前防御值：{0}', '扣除防御值：{0}']
AdventureFailedPopupTitle	冒险失败弹框标题	['提示']
AdventureFailedPopupContent	冒险失败弹框文本内容	['基地防御值归零，挑战失败']
AdventureFailedPopupConfirmText	冒险失败弹框确认文本	['退出挑战']
ViewMapTipContent	查看地图提示文本	['未{0}时无法继续行动']
ViewMapBtnClickTipContent	查看地图时点击按钮提示文本	['{0}时无法点击']
EntryViewMapPopupName	那个界面进行的查看地图	['替换图纸', '选择图纸', '选择奖励', '选择支援']
SwitchFloorCueId	切换层级音频Id	['557']
EventOptionStageScoreNotEnough	事件选项分数提示	['事件选项关卡分数不满足']
EffectForbiddenFight	411禁止战斗提示	['该战斗类型禁止交战']
EffectRecruitCostNotEnoughTip	效果410金币不足时提示	['银币不足，可保留行动点，在下一天转化为银币', '银币不足，剩余行动点下一天可转化为{0}银币']
EffectRecruitRedCostNotEnoughTip	效果422红色买死不足时提示	['当前持有军事建设度不足']
EffectRecruitHalfDiscount	拥有effect421, 红色买死附属effect, 金钱消耗减半	['(只减少怪物血量的%s%%)']
TimeBackTips1		['返还前3回合已使用行动点数%s点，下一章清空', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4IconActionpoint.png']
TimeBackTips2		['返还前3回合消耗的部分银币，共计%s', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4IconCoin.png']
TimeBackTips3		['返还前3回合消耗的施工许可%s，拆除对应建筑', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4IconXuke.png']
TimeBackTips4		['扣减前3回合获得的三色倍率%s', 'Assets/Product/Texture/Image/UiTheatre4/UiTheatre4IconGou.png']
