Id	Type	Params	Name	Description	WorldDesc	Icon
1	4		新苏菲亚币	用途多样的货币	简称为“银币”，新苏菲亚城通用货币，可以在商店里购买所有你支付得起的东西。	Assets/Product/Texture/Image/IconTools/UiTheatre4Item30.png
2	5		防御值	驻扎点的防御值，为零时驻扎点溃散，探索结束。		
3	6		发展指数	评估驻扎点的发展情况的重要指标		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4EndIcon02.png
4	7	1	红色倍率	提升每日结算时的军事建设度获取效率		Assets/Product/Texture/Image/IconTools/ItPointQuest02.png
5	7	2	黄色倍率	提升每日结算时的经济建设度获取效率		Assets/Product/Texture/Image/IconTools/ItPointQuest03.png
6	7	3	蓝色倍率	提升每日结算时的基建建设度获取效率		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png
7	8	1	红色资源-永久	可重复利用的资源，用于每日结算时提升军事建设度		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJunShi.png
8	8	2	黄色资源-永久	可重复利用的资源，用于每日结算时提升经济建设度		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJinJi.png
9	8	3	蓝色资源-永久	可重复利用的资源，用于每日结算时提升基建建设度		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJiJian.png
10	9	1	红色等级	提高等级可激活对应的军事支援效果		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJunShi.png
11	9	2	黄色等级	提高等级可激活对应的经济支援效果		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJinJi.png
12	9	3	蓝色等级	提高等级可激活对应的基建支援效果		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJiJian.png
13	10		施工许可	建造建筑/改造区域时需要消耗许可证	边境公社下发的施工许可，允许持有者在规定范围内动工。	Assets/Product/Texture/Image/IconTools/UiTheatre4Item31.png
14	11		行动点	探索区域需要消耗的资源		Assets/Product/Texture/Image/IconTools/IconRift006.png
15	12	1	红色资源	用于每日结算时提升军事建设度		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJunShi.png
16	12	2	黄色资源	用于每日结算时提升经济建设度		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJinJi.png
17	12	3	蓝色资源	用于每日结算时提升基建建设度		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconJiJian.png
18	13		图纸上限	提升图纸持有的上限		Assets/Product/Texture/Image/IconTools/ItGuildPoint01.png
19	15		觉醒值	塔季扬娜的觉醒值		Assets/Product/Texture/Image/UiTheatre4/UiTheatre4JuexingIcon01.png
20	17		沙盘重构	可以消耗1个沙漏进行一次沙盘重构，让时间回到3回合前，且可以获得这期间消耗的行动点		Assets/Product/Texture/Image/IconTools/UiTheatre4ItemHuisu.png
