Key	Comment	Values
HelpKey	帮助Key	['Escape']
RemainTimeColor	逃亡时间颜色	['#00FF22', '#FFF100', '#FF3500']
RemainTimeShowColor	大于60秒，绿色;59~30秒，黄色;29~0秒，红色	['60', '30', '0']
ChapterSettleCondDesc	阶段结算左侧参数描述	['剩余时间']
ChapterSettleRemainTimeScore	阶段结算评分	['80', '75', '70', '65', '60', '1']
ChapterSettleRemainTimeGradeImgPath	阶段结算评级的图片资源	['Assets/Product/Texture/Image/UiSameColorGame/SameColorS.png', 'Assets/Product/Texture/Image/UiSameColorGame/SameColorA.png', 'Assets/Product/Texture/Image/UiSameColorGame/SameColorB.png', 'Assets/Product/Texture/Image/UiSameColorGame/SameColorC.png', 'Assets/Product/Texture/Image/UiSameColorGame/SameColorD.png', 'Assets/Product/Texture/Image/UiSameColorGame/SameColorE.png']
ChapterSettleRemainTimeGrade	阶段结算评级	['S', 'A', 'B', 'C', 'D', 'E']
DifficultyName	难度名	['常规', '噩梦']
MainBg	主界面背景	['Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg02.png', 'Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg03.png', 'Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg04.png', 'Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg05.png', 'Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg06.png']
FightSettleCondDesc	战斗结算描述	['当前区域']
MainShowRewardId	主界面任务按钮展示的奖励	['550320']
MainDifficultyBgUrl	主界面难度背景底图Url	['Assets/Product/Texture/Image/UiEscape/UiEscape2MainBg01.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2MainBg02.png']
ChapterNumIconUrl	章节数字Url	['Assets/Product/Texture/Atlas/UiEscape/UiEscape2MainStageNun01.png', 'Assets/Product/Texture/Atlas/UiEscape/UiEscape2MainStageNun02.png', 'Assets/Product/Texture/Atlas/UiEscape/UiEscape2MainStageNun03.png', 'Assets/Product/Texture/Atlas/UiEscape/UiEscape2MainStageNun04.png', 'Assets/Product/Texture/Atlas/UiEscape/UiEscape2MainStageNun05.png', 'Assets/Product/Texture/Atlas/UiEscape/UiEscape2MainStageNun06.png']
ChapterDifficultyBgUrl	章节难度背景底图Url	['Assets/Product/Texture/Image/UiEscape/UiEscape2MainStage01.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2MainStage02.png']
ChapterDifficultyLockUrl	章节难度上锁底图Url	['Assets/Product/Texture/Image/UiEscape/UiEscape2MainStageLock.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2MainStageLock.png']
StageTitleColor	章节节点标题颜色	['55D0F0', '55D0F0', '9B62DA', 'FF8624']
SettleTitleIcon	最终结算Icon	['Assets/Product/Texture/Image/UiEscape/UiEscape2SettleWin.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2SettleLose.png']
SettleTitleText	最终结算text	['逃出生天', '时空破碎']
StageTitleBg		['Assets/Product/Texture/Image/UiEscape/UiEscape2FubenStage02.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2FubenStage02.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2FubenStage03.png', 'Assets/Product/Texture/Image/UiEscape/UiEscape2FubenStage04.png']
