Id	Name	Path	EntityId
1970324841693262	BuildingMiddle_L0_X78_Y72		177
1970324841693261	BuildingMiddle_L0_X77_Y72		178
1970324841758799	BuildingMiddle_L0_X79_Y73		179
1970324841824334	BuildingMiddle_L0_X78_Y74		180
1970324841824333	BuildingMiddle_L0_X77_Y74		181
1970324841824335	BuildingMiddle_L0_X79_Y74		182
1970324841693263	BuildingMiddle_L0_X79_Y72		183
1970324841758798	BuildingMiddle_L0_X78_Y73		184
1970324841693260	BuildingMiddle_L0_X76_Y72		185
1970324841758797	BuildingMiddle_L0_X77_Y73		186
1970324841758800	BuildingMiddle_L0_X80_Y73		187
1970324841758801	BuildingMiddle_L0_X81_Y73		188
1970324841824336	BuildingMiddle_L0_X80_Y74		189
1970324841693264	BuildingMiddle_L0_X80_Y72		190
1970324841627728	BuildingMiddle_L0_X80_Y71		191
1970324841627727	BuildingMiddle_L0_X79_Y71		192
1970324841496656	BuildingMiddle_L0_X80_Y69		193
1970324841496654	BuildingMiddle_L0_X78_Y69		194
1970324841562190	BuildingMiddle_L0_X78_Y70		195
1970324841496655	BuildingMiddle_L0_X79_Y69		196
1970324841431118	BuildingMiddle_L0_X78_Y68		197
1970324841627726	BuildingMiddle_L0_X78_Y71		198
