Key	Desc	Params
HelpDataKey	帮助Key	['TwoSideTower']
ScoreLevelIcons	积分等级图标	['Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerSameColorA.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerSameColorS.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerSameColorSS.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerSameColorSSS.png']
OverviewTabName	特性总览的第一个页签名字	['攻略提示']
ActivityLockDesc	获取未解锁描述	['剩余{0}解锁', '已结束']
ChapterLockDesc	章节未解锁描述	['{0}后解锁', '通关{0}解锁', '未解锁']
ChapterBgIcon	章节背景图标	['Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBg.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBg2.png']
ChapterTitleIcon	章节标签图标	['Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBt.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineBt2.png']
ChapterBtnSkipName	章节跳转按钮名	['本我牢笼', '超频裂缝']
ChapterBtnSkipIcon	章节跳转按钮图片	['Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineGk7.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineGk8.png']
ChapterFeatureClickTip	章节界面特性图片点击提示	['请击败{0}节点']
NormalPointNotPassTip	所有普通节点未通关提示	['节点未全部通关']
PointDetailNotSelectTip	详情界面未选择提示	['请选择特性']
FeatureDefaultIcon	特性默认图标（?图标）	['Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png']
StageDetailBg	关卡详情背景	['Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineTc2.png', 'Assets/Product/Texture/Image/UiTwoSideTower/UiTwoSideTowerMainLineTc1.png']
StageDetailNotSelectPointTip	关卡详情未选择节点提示	['请选择要挑战的节点关卡']
ActivityBannerProcess	活动入口进度描述	['完成任务:{0}/{1}']
OutSideLimitTaskName	任务界面左边按钮名	['超频裂缝']
InSideLimitTaskName	任务界面左边按钮名	['本我牢笼']
SettleWinTitle	通关标题	['{0}通关！']
SettleShieldDetail	通关详情描述	['在终末关卡的战斗中，您一共突破了{0}个幻象特性，\\n屏蔽了{1}个幻象特性']
ResetChapterTitle	重置章节弹框标题	['提示']
ResetChapterContent	重置章节弹框描述	['重置章节会<color=#e41f0a>重置章节进度</color>，但仍会保留本章节的历史最高分\\n确定要重新挑战吗？']
ResetPointTitle	重置节点标题	['提示']
ResetPointContent	重置节点描述	['重置节点会重置节点进度\\n确定要重新挑战吗？']
AutoFightTitle	自动作战标题	['提示']
AutoFightContent	自动作战描述	['重置章节后，曾通关过的关卡可以使用自动作战<color=#e41f0a>直接通关</color>\\n确定要进行自动作战吗？']
BattleDialogHintTitle	战斗提示标题	['进入关卡']
BattleDialogHintContent	战斗提示描述	['选择关卡进行挑战后，该关卡所拥有的效果将继承至终末关卡。是否要先挑战本关卡？']
