UiName	IsPauseFight	IsChangeInput	IsQueue	IsHideFightUi	IsCloseCameraControl	IsVirtual	ImpactIds
UiBigWorldMenu	True	True	True				
UiBigWorldTaskMain	True	True					[1]
UiBigWorldTaskMainInvitation	True	True					[1]
UiBigWorldLineChapter	True	True					
UiBigWorldPopupConfirm	True	True					
UiBigWorldMessageTips			True	True			
UiBigWorldTaskObtain		True	True				
UiBigWorldTaskObtainDrama		True	True				[2]
UiBigWorldTaskObtainDramaHeart		True	True				[2]
UiBigWorldTaskObtainInvitation		True	True				[1]
UiBigWorldTaskPopupEndingDetail		True	True				
UiSkyGardenCafeMain		True					[1]
UiSkyGardenCafeHandBook		True					
UiSkyGardenCafeGame		True					
UiBigWorldMessage		True		True			[1]
UiBigWorldPopupMessage		True					
UiBigWorldPopupMessageSingle		True	True				
UiBigWorldLittleMap						True	
UiBigWorldMapDetail	True	True					
UiBigWorldMap	True	True					[1]
UiBigWorldMapOverview	True	True					
UiBigWorldDIY	True	True					
UiBigWorldBackpack	True	True		True			
UiBigWorldObtain	True	True					
UiBigWorldObtainSpecial							
UiSkyGardenShoppingStreetMain		True					[1]
UiSkyGardenShoppingStreetGame		True					[1]
UiSkyGardenShoppingStreetInsideBuild		True					[1]
UiSkyGardenShoppingStreetBuild		True					[1]
UiSkyGardenShoppingStreetTarget		True					[1]
UiSkyGardenShoppingStreetPopupRoundEnd		True					[1]
UiSkyGardenShoppingStreetLight		True					[1]
UiSkyGardenShoppingStreetUpgrade		True					[1]
UiSkyGardenShoppingStreetSale		True					[1]
UiSkyGardenDormPhotoWall		True					[1]
UiSkyGardenDormCoating		True					[1]
UiBigWorldPopupTeach	True	True	True				
UiBigWorldPopupQuitShow	True	True					
UiBigWorldPhotographControl		True					[1]
UiBigWorldPhotographPopupAlbum	True	True					[1]
UiBigWorldPhotographPopupAlbumDetail	True	True					[1]
UiBigWorldPhotographPopupPhoto		True					[1]
UiBigWorldTrialRolePopup		True	True				
UiBigWorldTeachTips			True				
UiBigWorldProcess	True	True					[1]
UiBigWorldPopupNews	True	True					[1]
UiBigWorldRewardSidebar			True				
UiBigWorldRoleRoom	True	True					[1]
UiBigWorldCoating	True	True					[1]
UiBigWorldSet	True	True					[1]
UiBigWorldTeachMain		True					[1]
UiBigWorldSettlement		True					
UiBigWorldPopupSkipDialogue	True	True					
UiBigWorldTip	True	True					
UiBigWorldPopupDelivery		True					
UiSkyGardenSGDroneGame	True	True		True			
UiSkyGardenSGDroneMain		True		True			
UiSkyGardenSGDroneLoading	True	True		True			
UiSkyGardenSGDroneChapter		True		True			
UiSkyGardenSGDroneStageDetail		True		True			
UiSkyGardenSGDroneStage		True		True			
UiSkyGardenSGDronePopupSettlement	True	True		True			
UiSkyGardenSGDronePopupDetail		True		True			
UiSkyGardenSGDronePopupStop	True	True		True			
UiBigWorldPurchaseItem	True	True		True			
UiSkyGardenSGDroneShop	True	True		True			
UiBigWorldCollegeBanner	True	True					
UiBigWorldPopupTaskInterception	True	True					
