Id	CharacterId	Name	FashionId	WeaponFashionId	GainType	FashionGainParams	WeaponFashionGainParams
1	1011003	深海蓝调	6110306	12010002			
2	1011003	撷影迷情	6110307	12010001			
3	1011004	苍红救赎	6002704	12320001			
4	1011004	浮光潜影	6002705	12320002			
5	1021003	末世绀华	6210307	12020002			
6	1021004	朱云流霭	6210404	12020001			
7	1021004	鳞波沫舞	6210405	12020004			
8	1021004	罪誓茜羽	6210406	12020005			
9	1021005	蚩龙渊渺	6002904	12340001			
10	1021005	破夜极星	6002905	12340002			
11	1021005	绛龙佑岁	6002906	12340003			
12	1021005	赤樗椿	6002907	12340004			
13	1021005	终途巡猎	6002909	12340005			
14	1021006	光耀颂赞	6004304	12470001			
15	1021006	拂晓长誓	6004305	12470002			
16	1021006	粼海浮荧	6004306	12470004			
17	1031002	纺光同尘	6310205	12030001			
18	1031004	祈晓织翼	6001804	12240001			
19	1031004	绮愿稚梦	6001805	12240003			
20	1031005	莲歌行	6005604	12600001			
21	1041003	幽涧青卞	6410305	12040001			
22	1041003	天赐恩典	6410306	12040002			
23	1041003	春围巡狩	6410307	12040003			
24	1041004	逐魇幽芒	6002504	12300001			
25	1041004	拾梦白菀	6002505	12300002			
26	1041004	赤红璨焰	6002506	12300003			
27	1041005	绯烬黯棘	6005304	12570001			
28	1041005	旖夜咏奏	6005305	12570002			
29	1051003	鲨滩嬉戏	6510307	12050001			
30	1051005	甜莓绯轮	6004504	12490001			
31	1051005	秘龙驰星	6004505	12490002			
32	1051005	虹夜☆漫游	6004506	12490003			
33	1061003	万灵游行	6610306	12060001			
34	1061003	扬威虎将	6610307	12060004			
35	1071002	爆竹声中	6710105	12070001			
36	1071003	薄纱紫荆	6710306	12070004			
37	1071003	白色恋人	6710307	12070002			
38	1071003	雪豹之契	6710308	12070003			
39	1071004	晓兔阗春	6002305	12280001			
40	1071004	炸裂霓虹☆	6002306	12280002			
41	1071004	罡炁祛祟	6002307	12280003			
42	1081004	逐孽游骑	6003605	12400001			
43	1091003	竞跃纷斓	6002805	12330001			
44	1091003	滨海涟漪	6002806	12330002			
45	1121003	荣勋典范	6001404	12200001			
46	1121003	长夜魅影	6001405	12200002			
47	1121003	余暇沐日	6001406	12200003			
48	1131003	绯澜盛律	6001605	12230002			
49	1131003	冥夜日冕	6001606	12230003			
50	1131003	绮影凛然	6001607	12230004			
51	1131004	焰骸孤冕	6005004	12540001	1	[502, 50207601]	[504, 50404201]
52	1141003	旌风雪冠	6000505	12110003			
53	1141003	尼刻US1000	6000506	12110002			
54	1141004	圣律锢金	6005804	12620001			
55	1161002	苍山尘叶	6000605	12140001			
56	1171003	荆棘火	6000804	12170001			
57	1171003	街头红芒	6000805	12170002			
58	1171003	苍空炽月	6000806	12170004			
59	1171004	弥月寒调	6003904	12430001			
60	1171004	璃蓝眸转	6003905	12430002			
61	1171004	罪妄月华	6003906	12430003			
62	1171004	涂鸦法则	6003907	12430004			
63	1211003	霜绫栖鸮	6004204	12460001			
64	1211003	冥土渡魂	6004205	12460002			
65	1221003	朽骨回生	6003105	12360001			
66	1221003	稚眠绒狼	6003106	12360002			
67	1231002	天鹅湖畔	6002604	12310001			
68	1231002	猫步轻俏	6002605	12310002			
69	1231002	梦旋序曲	6002606	12310003			
70	1241002	亭槐依梦	6003005	12350001			
71	1241003	瑶云流华	6004104	12450001			
72	1241003	泠泫旖碧	6004105	12450002			
73	1241003	鸿韵绣春	6004106	12450003			
74	1251002	驭龙拏云	6003205	12370001			
75	1261003	长夜瞭望	6003304	12040005			
76	1261003	暮色黯星	6003305	12040006			
77	1261003	沙飞虹芒	6003306	12040007			
78	1271003	海渊殊色	6003404	12380001			
79	1271003	茕心溯愿	6003405	12380002			
80	1271003	绛鳞游虹	6003406	12380003			
81	1291002	绚彩节拍	6003804	12420001			
82	1291002	泳歌盈步	6003805	12420002			
83	1291002	绯彩盈曦	6003806	12420003			
84	1291003	熊迹旅诗	6005704	12610001			
85	1301002	热忱漫途	6004004	12440001			
86	1301002	熠耀方程	6004005	12440002			
87	1311002	彼岸浮华	6004404	12480001			
88	1321003	御衡圣翼	6004604	12500001			
89	1321003	巫渺魂祀	6004605	12500002			
90	1321003	夜诏终章	6004606	12500003			
91	1331003	遐寐矜妄	6004704	12510001			
92	1331003	妖蛊魇色	6004705	12510002			
93	1331003	诡祚轮契	6004706	12510003			
94	1341002	翼痕悦趣	6004904	12530001			
95	1341002	晴滩涟影	6004905	12530002			
96	1371002	胧月裂帛	6005404	12580001			
97	1371002	纤卉裁风	6005405	12580002			
98	1381003	冥神绶寂	6005504	12590001			
99	1521003	红绡春榭	6000705	12130001			
100	1521004	灰翎飞翩	6003704	12410001			
101	1521004	梨缘韶华	6003705	12410002			
102	1521004	龙雀归膺	6003706	12410003			
103	1531004	晴喻天音	6001905	12250001			
104	1531004	梦隙流形	6001906	12250002			
105	1531005	曜弦游吟	6004804	12520001			
106	1531005	缘纺祈糸	6004805	12520002			
107	1551003	赤锦洄梦	6002005	12260001			
108	1131004	焰血裁决	6005005	12540003			
109	1391003	幽林巫祷	6005904	12630001			
